Workshop Name,PoleStudio,Workshop Seite Eversports,Version
Mounts & Lifts Workshop,poda,https://www.eversports.de/e/workshop/Oj5e8M7,2023-08-16 18:40:23
Pole Low Flow Choreo Workshop,poda,https://www.eversports.de/e/workshop/V0-7jLd,2023-08-16 18:40:23
Contemporary Chair Dance Workshop,poda,https://www.eversports.de/e/workshop/9YtzR2s,2023-08-16 18:40:23
"'Geschüttelt, nicht gerührt' - Twerk Workshop ",poda,https://www.eversports.de/e/workshop/k3HUMRt,2023-08-16 18:40:23
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/tUZ-pbNF0,2023-08-16 18:40:23
Strip that down! Workshop *girls only*,poda,https://www.eversports.de/e/workshop/mT-MZa2,2023-08-16 18:40:23
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/5u5RfrpDC,2023-08-16 18:40:23
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/RPiNq9mm6,2023-08-16 18:40:23
Stunning Pole (Fake) Splits (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/Tdt3RvbyV,2023-08-16 18:40:24
Elegant Pole Combo (Beginners),AIRobics,https://www.eversports.de/e/workshop/5D4VyOGRg,2023-08-16 18:40:24
Sensual Floorwork Choreo,AIRobics,https://www.eversports.de/e/workshop/vJj88Ej,2023-08-16 18:40:24
Pole Power Tricks (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/9W9Yd45l6,2023-08-16 18:40:24
Sexy Pole Choreo (All Levels),AIRobics,https://www.eversports.de/e/workshop/ecWLvxCKA,2023-08-16 18:40:24
Aerial Yoga & Stretch (All Levels),AIRobics,https://www.eversports.de/e/workshop/4NzxSWm-T,2023-08-16 18:40:24
Energetic Pole Combo (Intermediate),AIRobics,https://www.eversports.de/e/workshop/KIrKTpz2H,2023-08-16 18:40:24
Front- & Middlesplit Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/jx8bzqdYN,2023-08-16 18:40:24
Silk Mini Drops & Saltos (Intermediate),AIRobics,https://www.eversports.de/e/workshop/D8oZq31LB,2023-08-16 18:40:24
Urban Dance (All Levels),AIRobics,https://www.eversports.de/e/workshop/4ZryDf5g3,2023-08-16 18:40:24
Backbend Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/OXSt71Hbq,2023-08-16 18:40:24
Dynamic Static Pole (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/tGmtMUawU,2023-08-16 18:40:24
Sexy Hoop Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/1mFu5XyHi,2023-08-16 18:40:24
Double Trouble: Pole & Hoop Doubles (All Levels),AIRobics,https://www.eversports.de/e/workshop/qBTTLinaz,2023-08-16 18:40:24
AIRobics Geburtstagsparty,AIRobics,https://www.eversports.de/e/workshop/ROxeI4H,2023-08-16 18:40:24
Impressive Pole Handstands (All Levels),AIRobics,https://www.eversports.de/e/workshop/2cf1FMtZ-,2023-08-16 18:40:24
Hammock Mini Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/f3gqricJC,2023-08-16 18:40:24
Power Hoop & Drops (Intermediate),AIRobics,https://www.eversports.de/e/workshop/sUS-p7fpT,2023-08-16 18:40:24
No Heels Exotic Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/lD4asREMG,2023-08-16 18:40:24
Silk Mini Choreo (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/QaE6rQp4-,2023-08-16 18:40:24
"Pole Handspring, Pegasus & Flips (Int./Adv.)",AIRobics,https://www.eversports.de/e/workshop/ZpTaIytyi,2023-08-16 18:40:24
