Workshop Name,PoleStudio,Workshop Seite Eversports,Version
*Fortsetzung folgt...* Lady Marmalade Chair Dance Workshop,poda,https://www.eversports.de/e/workshop/cDPxswQQp,2023-06-05 13:19:13
*Fortsetzung folgt...* Azzlack Stereotyp 2 - Exotic Pole Workshop,poda,https://www.eversports.de/e/workshop/xo_EQbOQn,2023-06-05 13:19:13
Handspring & Ayesha Workshop,poda,https://www.eversports.de/e/workshop/jX8dzVg5G,2023-06-05 13:19:13
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/HGkpQ9uAJ,2023-06-05 13:19:13
Hip Hop Pole Choreo Workshop,poda,https://www.eversports.de/e/workshop/x4_P-SXfo,2023-06-05 13:19:13
Lap Dance Workshop mit Emmy,poda,https://www.eversports.de/e/workshop/G6raw3Uox,2023-06-05 13:19:13
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/Bz5neTPTa,2023-06-05 13:19:13
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/3zdELX6G_,2023-06-05 13:19:13
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/tUZ-pbNF0,2023-06-05 13:19:13
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/5u5RfrpDC,2023-06-05 13:19:13
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/RPiNq9mm6,2023-06-05 13:19:13
Modern Dance für Anfänger (keine Tanzerfahrung notwendig),AIRobics,https://www.eversports.de/e/workshop/TeIHGcZkb,2023-06-05 13:19:14
Burlesque Dance für Personen mit Vorerfahrung im Tanzbereich,AIRobics,https://www.eversports.de/e/workshop/scajUn5lr,2023-06-05 13:19:14
Ballett Basics für Kinder von 8 bis 11 Jahren ,AIRobics,https://www.eversports.de/e/workshop/-u5CCyJxd,2023-06-05 13:19:14
Stunning Pole (Fake) Splits (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/Tdt3RvbyV,2023-06-05 13:19:14
Elegant Pole Combo (Beginners),AIRobics,https://www.eversports.de/e/workshop/5D4VyOGRg,2023-06-05 13:19:14
Pole Power Tricks (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/9W9Yd45l6,2023-06-05 13:19:14
Sexy Pole Choreo (All Levels),AIRobics,https://www.eversports.de/e/workshop/ecWLvxCKA,2023-06-05 13:19:14
Aerial Yoga & Stretch (All Levels),AIRobics,https://www.eversports.de/e/workshop/4NzxSWm-T,2023-06-05 13:19:14
Energetic Pole Combo (Intermediate),AIRobics,https://www.eversports.de/e/workshop/KIrKTpz2H,2023-06-05 13:19:14
Front- & Middlesplit Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/jx8bzqdYN,2023-06-05 13:19:14
Urban Dance (All Levels),AIRobics,https://www.eversports.de/e/workshop/4ZryDf5g3,2023-06-05 13:19:14
Silk Mini Drops & Saltos (Intermediate),AIRobics,https://www.eversports.de/e/workshop/D8oZq31LB,2023-06-05 13:19:14
Dynamic Static Pole (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/tGmtMUawU,2023-06-05 13:19:14
Backbend Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/OXSt71Hbq,2023-06-05 13:19:14
Sexy Hoop Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/1mFu5XyHi,2023-06-05 13:19:14
Double Trouble: Pole & Hoop Doubles (All Levels),AIRobics,https://www.eversports.de/e/workshop/qBTTLinaz,2023-06-05 13:19:14
Impressive Pole Handstands (All Levels),AIRobics,https://www.eversports.de/e/workshop/2cf1FMtZ-,2023-06-05 13:19:14
Hammock Mini Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/f3gqricJC,2023-06-05 13:19:14
Power Hoop & Drops (Intermediate),AIRobics,https://www.eversports.de/e/workshop/sUS-p7fpT,2023-06-05 13:19:14
Pole Mini Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/lD4asREMG,2023-06-05 13:19:14
Silk Mini Choreo (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/QaE6rQp4-,2023-06-05 13:19:14
"Pole Handspring, Pegasus & Flips (Int./Adv.)",AIRobics,https://www.eversports.de/e/workshop/ZpTaIytyi,2023-06-05 13:19:14
Fusion Dance Workshop mit Elena Loch,Aerial,https://www.eversports.de/e/workshop/erk8O3C53,2023-06-05 13:19:14
