City,Image Source,Business Name,Rating,Number of Reviews,Categories,Address,Eversports URL:L,Eversports URL:S,DWO URL
Aachen,https://files.eversports.com/b5fbdb8d-cc1e-44ab-872b-d0b211cc9007/d-img_2188-6jpg-small.webp,poda Studio,rating,"4,9 (47 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 17']","Martinstraße 10-12 , 52062 Aachen",https://www.eversports.de/l/poledance/Aachen,https://www.eversports.de/s/poda-studio,https://www.eversports.de/dwo/poledance/Aachen
Abensberg,https://files.eversports.com/a73d40e1-eaf2-4300-b464-141124923110/13631394_1634636236854453_5896347896473718519_n-small.webp,Polesition Regensburg,rating,"4,9 (27 Rezensionen)","['Pilates', 'Tanzen', 'Poledance', 'Aerial Yoga', '+ 10']","Rebhuhnstraße 4, 93326 Abensberg",https://www.eversports.de/l/poledance/Abensberg,https://www.eversports.de/s/polesition-regensburg,https://www.eversports.de/dwo/poledance/Abensberg
Achern,https://files.eversports.com/0fe3af8e-230c-4d18-a416-fd2ed85e1a01/photo_2023-03-17_22-12-16-2jpg-small.webp,Körperformfabrik GbR,rating,"4,9 (3 Rezensionen)","['Poledance', 'TRX®', 'TRX® Yoga', 'TRX® Suspension Training', '+ 1']","Hauptstraße 108 , 77855 Achern",https://www.eversports.de/l/poledance/Achern,https://www.eversports.de/s/koerperformfabrik-gbr,https://www.eversports.de/dwo/poledance/Achern
Ahrensburg,https://files.eversports.com/fc2ddda9-5ed5-49ed-a41e-2228042722d9/_z3a3511jpg-small.webp,Soultide,rating,"4,9 (43 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Floorwork', '+ 9']","Süderstraße 159A , 20537 Hamburg",https://www.eversports.de/l/poledance/Ahrensburg,https://www.eversports.de/s/soultide,https://www.eversports.de/dwo/poledance/Ahrensburg
Aichtal,https://files.eversports.com/acd0bdf0-7c65-4087-82b3-595f12c318c3/l22b2057-epjpg-small.webp,Polemotions Tübingen,rating,"4,9 (68 Rezensionen)","['Yoga', 'Poledance', 'Krafttraining', 'Acroyoga', '+ 10']","Aeulestraße 2 , 72074 Tübingen",https://www.eversports.de/l/poledance/Aichtal,https://www.eversports.de/s/polemotions-tuebingen,https://www.eversports.de/dwo/poledance/Aichtal
Aken,https://files.eversports.com/b5fbdb8d-cc1e-44ab-872b-d0b211cc9007/d-img_2188-6jpg-small.webp,poda Studio,rating,"4,9 (47 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 17']","Martinstraße 10-12 , 52062 Aachen",https://www.eversports.de/l/poledance/Aken,https://www.eversports.de/s/poda-studio,https://www.eversports.de/dwo/poledance/Aken
Alsdorf,https://files.eversports.com/0aed1787-d224-4868-b032-4f0a1ffc8ff2/photo-2021-12-12-11-50-04jpg-small.webp,Pura Studio,rating,5 (60 Rezensionen),"['Yoga', 'Poledance', 'Massage', 'Stretching', '+ 1']","Schaufenberger Straße 61 , 52477 Alsdorf",https://www.eversports.de/l/poledance/Alsdorf,https://www.eversports.de/s/pura-studio,https://www.eversports.de/dwo/poledance/Alsdorf
Altenberg,https://files.eversports.com/c902a4a3-458a-456a-a593-4ca6e3bb948f/img_8035jpg-small.webp,The Pole Jungle,rating,"4,9 (7 Rezensionen)",['Poledance'],"Volksgartenstraße 19 , 4020 Linz",https://www.eversports.de/l/poledance/Altenberg,https://www.eversports.de/s/the-pole-jungle,https://www.eversports.de/dwo/poledance/Altenberg
Altenkirchen,https://files.eversports.com/ce4d6229-b12d-4d23-93f2-8deb41f5175d/069jpg-small.webp,Yoga and Pole Art by Selina,rating,5 (49 Rezensionen),"['Poledance', 'Aerial Yoga', 'Personal Training', 'Meditation', '+ 8']","Zum Wingert 10 , 53783 Eitorf",https://www.eversports.de/l/poledance/Altenkirchen,https://www.eversports.de/s/yoga-and-pole-art-by-selina,https://www.eversports.de/dwo/poledance/Altenkirchen
Altensteig,/static/media/icon-white.929e2590.svg,ST Polestudio,rating,"4,7 (11 Rezensionen)",['Poledance'],"Walkmühleweg 47, 75365 Calw",https://www.eversports.de/l/poledance/Altensteig,https://www.eversports.de/s/st-polestudio,https://www.eversports.de/dwo/poledance/Altensteig
Altötting,https://files.eversports.com/e985ab77-98b5-45ee-b45d-ddaf724c9f2c/infinity-polesports-raumpng-small.webp,Infinity Polesports,rating,5 (29 Rezensionen),['Poledance'],"Martin-Ofner-Straße, 84508 Burgkirchen an der Alz",https://www.eversports.de/l/poledance/Altötting,https://www.eversports.de/s/infinity-polesports,https://www.eversports.de/dwo/poledance/Altötting
Alzenau,https://files.eversports.com/2e88c170-1607-4842-9e6d-76fc2fdcda15/logo-eversportspng-small.webp,Vertical - Pole Aerial Dance,rating,"4,9 (21 Rezensionen)","['Yoga', 'Poledance']","Mühlstraße 100 , 63741 Aschaffenburg",https://www.eversports.de/l/poledance/Alzenau,https://www.eversports.de/s/vertical-pole-aerial-dance-1,https://www.eversports.de/dwo/poledance/Alzenau
Andernach,https://files.eversports.com/d18b8ba6-2a87-45d9-84b2-0a331bc8731e/image1jpeg-small.webp,Polefamily-Koblenz,rating,5 (20 Rezensionen),"['Tanzen', 'Poledance', 'Aerial Yoga', 'Flexibles Training', '+ 4']","Löhrstraße 48 , 56068 Koblenz",https://www.eversports.de/l/poledance/Andernach,https://www.eversports.de/s/polefamily-koblenz,https://www.eversports.de/dwo/poledance/Andernach
Aschaffenburg,https://files.eversports.com/2e88c170-1607-4842-9e6d-76fc2fdcda15/logo-eversportspng-small.webp,Vertical - Pole Aerial Dance,rating,"4,9 (21 Rezensionen)","['Yoga', 'Poledance']","Mühlstraße 100 , 63741 Aschaffenburg",https://www.eversports.de/l/poledance/Aschaffenburg,https://www.eversports.de/s/vertical-pole-aerial-dance-1,https://www.eversports.de/dwo/poledance/Aschaffenburg
Aßlar,https://files.eversports.com/dd5a4408-aea3-4504-ab29-32abd1d5aff3/vereinsheim-eingangjpg-small.webp,TSG Blau-Gold Gießen e.V.,rating,"4,7 (105 Rezensionen)","['Boxen', 'Fitness', 'Kampfsport', 'Pilates', '+ 78']","An der Hessenhalle 1 , 35398 Gießen",https://www.eversports.de/l/poledance/Aßlar,https://www.eversports.de/s/tsg-blau-gold-giessen-ev,https://www.eversports.de/dwo/poledance/Aßlar
Augsburg,https://files.eversports.com/f8b9581d-04c2-40ef-95d8-5a121ec4b153/pole_plus_basic_butterflyjpg-small.webp,Pole Plus,rating,"4,9 (5 Rezensionen)","['Poledance', 'Stretching', 'Online Klasse']","Ulmer Straße 152 , 86156 Augsburg",https://www.eversports.de/l/poledance/Augsburg,https://www.eversports.de/s/pole-plus,https://www.eversports.de/dwo/poledance/Augsburg
Babenhausen,https://files.eversports.com/2e88c170-1607-4842-9e6d-76fc2fdcda15/logo-eversportspng-small.webp,Vertical - Pole Aerial Dance,rating,"4,9 (21 Rezensionen)","['Yoga', 'Poledance']","Mühlstraße 100 , 63741 Aschaffenburg",https://www.eversports.de/l/poledance/Babenhausen,https://www.eversports.de/s/vertical-pole-aerial-dance-1,https://www.eversports.de/dwo/poledance/Babenhausen
Bacharach,https://files.eversports.com/6debfbac-5718-47a9-ad52-8289481f7569/img_20180321_172157jpg-small.webp,Pole Oase,rating,5 (15 Rezensionen),"['Fitness', 'Tanzen', 'Poledance', 'Acroyoga', '+ 2']","Kleine Grabenstraße 1, 65385 Rüdesheim am Rhein",https://www.eversports.de/l/poledance/Bacharach,https://www.eversports.de/s/pole-oase,https://www.eversports.de/dwo/poledance/Bacharach
Baesweiler,https://files.eversports.com/b5fbdb8d-cc1e-44ab-872b-d0b211cc9007/d-img_2188-6jpg-small.webp,poda Studio,rating,"4,9 (47 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 17']","Martinstraße 10-12 , 52062 Aachen",https://www.eversports.de/l/poledance/Baesweiler,https://www.eversports.de/s/poda-studio,https://www.eversports.de/dwo/poledance/Baesweiler
Baiersdorf,https://files.eversports.com/e5ed9769-85df-431b-8f0a-671a61bcde60/logo1_lightpinkpng-small.webp,POLE HEROES,rating,"4,9 (55 Rezensionen)","['Yoga', 'Poledance', 'Flexibles Training', 'Power Pole', '+ 5']","Karl-Zucker-Straße 7-9, 91052 Erlangen",https://www.eversports.de/l/poledance/Baiersdorf,https://www.eversports.de/s/pole-heroes,https://www.eversports.de/dwo/poledance/Baiersdorf
Bargteheide,https://files.eversports.com/592e5cf9-c2d9-40ba-9256-19bc78827567/2016-06-11-18-14-58-738jpg-small.webp,CSS AERIAL DANCE STUDIO,rating,"4,8 (46 Rezensionen)","['Poledance', 'Aerial Yoga', 'Rückenfit', 'Flexibles Training', '+ 12']","Hummelsbütteler Steindamm , 22851 Hamburg",https://www.eversports.de/l/poledance/Bargteheide,https://www.eversports.de/s/css-aerial-dance-studio,https://www.eversports.de/dwo/poledance/Bargteheide
Barmstedt,https://files.eversports.com/7c6bb92c-bad6-4ad7-b100-9905421f30c5/image00003jpeg-small.webp,Anni's Pole-Dance Uetersen,rating,5 (14 Rezensionen),"['Poledance', 'Chairdance', 'Dehnung/Flexibilität', 'Exotic', '+ 2']","Pracherdamm 8 , 25436 Uetersen",https://www.eversports.de/l/poledance/Barmstedt,https://www.eversports.de/s/annis-pole-dance-uetersen,https://www.eversports.de/dwo/poledance/Barmstedt
Baunatal,https://files.eversports.com/b4900683-42e8-40ac-a35d-d7784172c4bc/104435046_672422056669469_6034553583716755523_njpg-small.webp,Pole for Soul GbR,rating,5 (19 Rezensionen),"['Yoga', 'Poledance', 'Aerial Yoga', 'Krafttraining', '+ 7']","Die Schlagd 1, 34125 Kassel",https://www.eversports.de/l/poledance/Baunatal,https://www.eversports.de/s/pole-for-soul-gbr,https://www.eversports.de/dwo/poledance/Baunatal
Bendorf,https://files.eversports.com/d18b8ba6-2a87-45d9-84b2-0a331bc8731e/image1jpeg-small.webp,Polefamily-Koblenz,rating,5 (20 Rezensionen),"['Tanzen', 'Poledance', 'Aerial Yoga', 'Flexibles Training', '+ 4']","Löhrstraße 48 , 56068 Koblenz",https://www.eversports.de/l/poledance/Bendorf,https://www.eversports.de/s/polefamily-koblenz,https://www.eversports.de/dwo/poledance/Bendorf
