City,Image Source,Business Name,Rating,Number of Reviews,Categories,Address,Eversports URL:L
Aachen,https://files.eversports.com/b5fbdb8d-cc1e-44ab-872b-d0b211cc9007/d-img_2188-6jpg-small.webp,"4,9 (51 Rezensionen)",rating,"4,9 (51 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 17']","Martinstraße 10-12 , 52062 Aachen",https://www.eversports.de/l/poledance/Aachen
Aachen,https://files.eversports.com/0aed1787-d224-4868-b032-4f0a1ffc8ff2/photo-2021-12-12-11-50-04jpg-small.webp,5 (66 Rezensionen),rating,5 (66 Rezensionen),"['Yoga', 'Poledance', 'Massage', 'Stretching', '+ 1']","Schaufenberger Straße 61 , 52477 Alsdorf",https://www.eversports.de/l/poledance/Aachen
Abensberg,https://files.eversports.com/a73d40e1-eaf2-4300-b464-141124923110/13631394_1634636236854453_5896347896473718519_n-small.webp,"4,9 (27 Rezensionen)",rating,"4,9 (27 Rezensionen)","['Pilates', 'Tanzen', 'Poledance', 'Aerial Yoga', '+ 10']","Rebhuhnstraße 4, 93326 Abensberg",https://www.eversports.de/l/poledance/Abensberg
Abensberg,https://files.eversports.com/9b5f6e3a-5ec8-45f2-8d5c-53002bef8aa4/bodypumpjpg-small.webp,"4,9 (36 Rezensionen)",rating,"4,9 (36 Rezensionen)","['Fitness', 'Pilates', 'Poledance', 'Aerial Yoga', '+ 8']","Von-Hazzi-Straße 7, 93326 Abensberg",https://www.eversports.de/l/poledance/Abensberg
Achern,https://files.eversports.com/0fe3af8e-230c-4d18-a416-fd2ed85e1a01/photo_2023-03-17_22-12-16-2jpg-small.webp,"4,9 (3 Rezensionen)",rating,"4,9 (3 Rezensionen)","['Poledance', 'TRX®', 'TRX® Yoga', 'TRX® Suspension Training', '+ 1']","Hauptstraße 108 , 77855 Achern",https://www.eversports.de/l/poledance/Achern
Ahrensburg,https://files.eversports.com/fc2ddda9-5ed5-49ed-a41e-2228042722d9/_z3a3511jpg-small.webp,"4,9 (57 Rezensionen)",rating,"4,9 (57 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Floorwork', '+ 9']","Süderstraße 159A , 20537 Hamburg",https://www.eversports.de/l/poledance/Ahrensburg
Ahrensburg,https://files.eversports.com/aa909fae-006d-4839-bc28-75abee14b39b/feel-good-factory-hamburg-erste-stunde_studio-1png-small.webp,5 (9 Rezensionen),rating,5 (9 Rezensionen),"['Tanzen', 'Poledance', 'Flexibles Training', 'Bodywork', '+ 15']","Holsteinischer Kamp 37 , 22081 Hamburg",https://www.eversports.de/l/poledance/Ahrensburg
Ahrensburg,https://files.eversports.com/8cbb2bc4-7116-4df4-9ea2-87463a1db8ae/25jpg-small.webp,"4,9 (46 Rezensionen)",rating,"4,9 (46 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Akrobatik', '+ 12']","Holsteinischer Kamp 58 , 22081 Hamburg",https://www.eversports.de/l/poledance/Ahrensburg
Ahrensburg,https://files.eversports.com/592e5cf9-c2d9-40ba-9256-19bc78827567/2016-06-11-18-14-58-738jpg-small.webp,"4,8 (49 Rezensionen)",rating,"4,8 (49 Rezensionen)","['Poledance', 'Aerial Yoga', 'Rückenfit', 'Flexibles Training', '+ 12']","Hummelsbütteler Steindamm , 22851 Hamburg",https://www.eversports.de/l/poledance/Ahrensburg
Aichtal,https://files.eversports.com/acd0bdf0-7c65-4087-82b3-595f12c318c3/l22b2057-epjpg-small.webp,"4,9 (72 Rezensionen)",rating,"4,9 (72 Rezensionen)","['Yoga', 'Poledance', 'Krafttraining', 'Acroyoga', '+ 10']","Aeulestraße 2 , 72074 Tübingen",https://www.eversports.de/l/poledance/Aichtal
Aichtal,https://files.eversports.com/de88c9ad-d060-4f5d-bcbc-0ca322455816/img_20170329_232320_523-small.webp,"4,8 (43 Rezensionen)",rating,"4,8 (43 Rezensionen)","['Poledance', 'Krafttraining', 'Stretching', 'Handstand', '+ 2']","Tübinger Straße 10 , 70794 Filderstadt",https://www.eversports.de/l/poledance/Aichtal
Aichtal,https://files.eversports.com/651383bb-513d-413c-9e96-0da05469ffe7/2020-09-19-163112jpg-small.webp,5 (23 Rezensionen),rating,5 (23 Rezensionen),"['Poledance', 'Akrobatik', 'Stretching']","Schöllkopfstraße 40 , 73230 Kirchheim unter Teck",https://www.eversports.de/l/poledance/Aichtal
Aken,https://files.eversports.com/b5fbdb8d-cc1e-44ab-872b-d0b211cc9007/d-img_2188-6jpg-small.webp,"4,9 (51 Rezensionen)",rating,"4,9 (51 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 17']","Martinstraße 10-12 , 52062 Aachen",https://www.eversports.de/l/poledance/Aken
Aken,https://files.eversports.com/0aed1787-d224-4868-b032-4f0a1ffc8ff2/photo-2021-12-12-11-50-04jpg-small.webp,5 (66 Rezensionen),rating,5 (66 Rezensionen),"['Yoga', 'Poledance', 'Massage', 'Stretching', '+ 1']","Schaufenberger Straße 61 , 52477 Alsdorf",https://www.eversports.de/l/poledance/Aken
