City,Business Name,Image Source,Rating,Number of Reviews,Categories,Address,Eversports URL
Aachen,poda Studio,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fb5fbdb8d-cc1e-44ab-872b-d0b211cc9007%2Fd-img_2188-6jpg-medium.webp&w=3840&q=75,4.9,51,['1 Angebot für Neukund:innen'],"Martinstraße 10-12, 52062 Aachen",https://www.eversports.de/l/poledance/Aachen
Aachen,Pura Studio,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F0aed1787-d224-4868-b032-4f0a1ffc8ff2%2Fphoto-2021-12-12-11-50-04jpg-medium.webp&w=3840&q=75,5.0,67,['1 Angebot für Neukund:innen'],"Schaufenberger Straße 61 , 52477 Alsdorf",https://www.eversports.de/l/poledance/Aachen
Abensberg,Polesition Regensburg,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Fa73d40e1-eaf2-4300-b464-141124923110%2F13631394_1634636236854453_5896347896473718519_n-medium.webp&w=3840&q=75,4.9,27,['2 Angebote für Neukund:innen'],"Rebhuhnstraße 4, 93326 Abensberg",https://www.eversports.de/l/poledance/Abensberg
Abensberg,Sportheim Abensberg,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F9b5f6e3a-5ec8-45f2-8d5c-53002bef8aa4%2Fbodypumpjpg-medium.webp&w=3840&q=75,4.9,36,[],"Von-Hazzi-Straße 7, 93326 Abensberg",https://www.eversports.de/l/poledance/Abensberg
Achern,Körperformfabrik GbR,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F0fe3af8e-230c-4d18-a416-fd2ed85e1a01%2Fphoto_2023-03-17_22-12-16-2jpg-medium.webp&w=3840&q=75,4.9,3,"['Kostenlos Schnuppern', '1 Angebot für Neukund:innen']","Hauptstraße 108 , 77855 Achern",https://www.eversports.de/l/poledance/Achern
Ahrensburg,Soultide,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Ffc2ddda9-5ed5-49ed-a41e-2228042722d9%2F_z3a3511jpg-medium.webp&w=3840&q=75,4.9,59,['2 Angebote für Neukund:innen'],"Süderstraße 159A , 20537 Hamburg",https://www.eversports.de/l/poledance/Ahrensburg
Ahrensburg,FEEL GOOD FACTORY: Pole • Stretch • Fly,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Faa909fae-006d-4839-bc28-75abee14b39b%2Ffeel-good-factory-hamburg-erste-stunde_studio-1png-medium.webp&w=3840&q=75,5.0,9,[],"Holsteinischer Kamp 37 , 22081 Hamburg",https://www.eversports.de/l/poledance/Ahrensburg
Ahrensburg,AIRobics,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F8cbb2bc4-7116-4df4-9ea2-87463a1db8ae%2F25jpg-medium.webp&w=3840&q=75,4.9,48,['2 Angebote für Neukund:innen'],"Holsteinischer Kamp 58, 22081 Hamburg",https://www.eversports.de/l/poledance/Ahrensburg
Ahrensburg,CSS AERIAL DANCE STUDIO,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2F7cfd8c7a-0691-4528-98af-82551de5588c%2Ffront-split-2jpg-medium.webp&w=3840&q=75,4.8,49,[],"Hummelsbütteler Steindamm , 22851 Hamburg",https://www.eversports.de/l/poledance/Ahrensburg
Aichtal,Polemotions Tübingen,/_next/image?url=https%3A%2F%2Ffiles.eversports.com%2Facd0bdf0-7c65-4087-82b3-595f12c318c3%2Fl22b2057-epjpg-medium.webp&w=3840&q=75,4.9,72,['1 Angebot für Neukund:innen'],"Aeulestraße 2 , 72074 Tübingen",https://www.eversports.de/l/poledance/Aichtal
