PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Schnupperkurspreis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
aerialflow,45894,Pfefferackerstraße 2A , 45894 Gelsenkirchen,"Das aerialflow in Gelsenkirchen-Buer lädt dich herzlich zu schweißtreibenden Trainingseinheiten in modernem Ambiente ein. Hier wird dir maximaler Trainingserfolg durch Training in kleinen Lerngruppen mit professioneller Betreuung gewährleistet. Egal, ob Yoga, Poledance, Tanzen oder Fitnessworkouts - belege verschiedenste Kurse für unterschiedliche Niveauklassen und arbeite hochintensiv und effektiv an deinen persönlichen Trainingszielen. Komme ins aerialflow und trainiere hier über den Dächern von Gelsenkirchen-Buer in einer angenehmen und motivierenden Atmosphäre!","10,00 €","10,00 €",4.8,48 Rezensionen, info@aerialflow.de,http://www.aerialflow.de,+49 (0) 209 88000403,https://www.eversports.de/s/aerialflow,2023-04-21 00:58:15
AIRobics,22081,Holsteinischer Kamp 58 , 22081 Hamburg,"Bei AIRobics geht es, wie der Name schon vermuten lässt, um Bewegungen in der Luft. Genauer, es ist ein Studio für Luftakrobatik und Tanz. Bei uns erlernst du atemberaubende Tricks, Kombinationen und auch ganze Choreographien an der Pole, dem Aerial Silk, dem Aerial Hoop und dem Aerial Hammock. Darüber hinaus kannst du deine Fitness und Flexibilität in verschiedenen Bodenkursen verbessern. Und an alle Eltern: AIRobics hat ein auch ein vielseitiges Angebot für Kinder!","15,00 €","15,00 €",4.9,45 Rezensionen, dance@airobics.de,https://airobics.de/,+49 15117626559,https://www.eversports.de/s/airobics,2023-04-21 00:58:11
Annaconda Pole & Fitness,50827,Venloer Straße 601-603, 50827 Köln,"Annaconda Pole&Fitness bietet Kurformate für den Pole-Sport sowie Stretching an.
Was ist Pole-Sport und für wen ist es geeignet?
Der Pole-Sport ist eine akrobatische Sportart, der an einer vertikalen Stange ausgeübt wird und Kraft, Flexibilität sowie Koordination miteinander vereint. Dieser Sport ist das effektivste Tanzkörper-Training und bringt viel Spaß. Grundsätzlich ist der Sport für jeden jeglicher Altersgruppe geeignet sofern die gesundheitlichen Vorraussetzungen erfüllt sind.
Welche Kurse werden angeboten?
Die Pole-Sport Kurse sind in PoleFitness Kurse unterschiedlicher Level (Grundkurse), PoleAcrobatics (Akrobatische/Turnerische Elemente), PolePower (Kraft-Kondition) und PoleFlexibility (Spezielles Dehnen für den PoleSport) unterteilt. Zudem gibt es allgemeine Stretching Kurse für die Verbesserung der allgemeinen Beweglichkeit.
Woher weiß ich, in welchen Kursen ich trainieren kann?
Schau dir dazu das Kurskonzept auf der Website an. Dort sowie in den Kursbeschreibungen hier siehst du immer, welche Vorraussetzungen erfüllt sein müssen.","20,00 €","20,00 €",5.0,29 Rezensionen, annacondapolefitness@gmail.com,https://www.annaconda-polefitness.de,+49 1743059888,https://www.eversports.de/s/annaconda-pole-and-fitness,2023-04-21 00:58:19
BALANCE Neumarkt,92318,Deininger Weg 94 , 92318 Neumarkt in der Oberpfalz,"BALANCE Neumarkt ist ein Kursstudio mit einem sehr breiten Online- und Studioprogramm. Es befindet sich in Neumarkt in der Oberpfalz, unweit von der Bushaltestelle Regensburger Straße. Angeboten werden Tanzkurse (Jazz Dance, Dance Kids, Streedance & Funky Jazz), Poledance, Yoga, Pilates, Sings und vieles mehr. Bei BALANCE Neumarkt werden sowohl regelmäßige Klassen als auch aufbauende Kurse und einmalige Workshops angeboten. Seit 2020 steht allen Kunden eine Online-Videothek zur Verfügung. Videos können einzeln gekauft oder mit dem entsprechenden Service erworben werden.","0,00 €","0,00 €",4.9,92 Rezensionen, studio@balance-neumarkt.de,http://www.balance-neumarkt.de,+49 160 80 20 246,https://www.eversports.de/s/balance-neumarkt,2023-04-21 00:58:23
Da Becca Flow and Fit,44651,Eickeler Markt 3A , 44651 Herne,"Für Neukunden-bitte eine Email bei Interesse an unseren Kursen an info@dabecca.de .
Da Becca Flow and Fit - wir heissen Dich herzlich willkommen in unserem wunderschönen Pole/Floorwork/ Tanzstudio. Hier wird wert auf persönliche und kleine Lerngruppen gelegt und Dir ein Safespace für Frauen mit professioneller Betreuung geboten. Trainingserfolge mit Spass , viel Musik, Tanzen und auch schweisstreibenden Stretching und Choreos. Mal sensual, mal rockig , mal contemporary . Wir haben Dir im kleinen rahmen viel zu bieten . Wir freuen uns auf das Tanzerlebnis mit Dir oder auch in unseren Mobility Kursen mit Dir an Deiner flexibilität und Kraft zu arbeiten !!!
Wir arbeiten mit Flatrates und 10 und 5 er Karten daher seid euch bitte im klaren das nicht immer gewährleistet ist das ihr euren Wunschkurs jede Woche belegen könnt dafür aber bis zu 80 Kurse im Monat zur Auswahl habt !!","49,00 €","49,00 €",5.0,21 Rezensionen, info@dabecca-flowandfit.de,http://www.dabecca-flowandfit.de,+49 17620913644,https://www.eversports.de/s/da-becca-flow-and-fit,2023-04-21 00:58:19
Flexx Arts - Aerial Dance & Fitness,87700,Rostocker Weg 14 , 87700 Memmingen,"Unsere Flexx Arts Studios findest du in Memmingen (Rudolf-Diesel-Straße 12, 87700 Memmingen). Im Studio unterrichten wir Poledance & -fitness, Workout und Flexibility Classes. Die Kurse finden stets in kleinen Gruppen mit max. 10 Teilnehmern statt und schaffen so eine private und entspannte Trainingsatmosphäre. Komm vorbei ins Flexx Arts!
Infos zu unseren Kursen und Klassen findet ihr auf unserer Homepage www.flexxarts.de
Für alle News und Infos folge uns auf Instagram: @flexxarts","17,00 €","17,00 €",4.9,19 Rezensionen, info@flexxarts.de,http://www.flexxarts.de,+49 1511 7642 817,https://www.eversports.de/s/flexx-arts-aerial-dance-and-fitness,2023-04-21 00:58:13
La Belle,30853,Marktplatz 4 , 30853 Langenhagen,"Studio
In unserem Loft-Studio La Belle trainierst du in kleinen Gruppen auf einer großzügigen Fläche von 210 qm und einer Deckenhöhe von 3,80 m an neun hochwertigen Poles in einer familiären und geschützten Atmosphäre.
Wir bieten dir viel Raum und Platz für deine Kreativität, stets begleitet von unseren professionell ausgebildeten Trainerinnen oder Trainern.
Von den Leveln „beginner“ bis „advanced“ sowie den weiteren vielfältigen Facetten des Pole Sports bieten wir verschiedenste und abwechslungsreiche Kursformate, stets mit der höchsten Qualität auf dem höchsten Niveau.
In unseren ausgewiesenen, freien Trainingsstunden darfst du unser Loft inklusive des Equipments kostenfrei nutzen, um das Erlernte zu vertiefen und deine Kreativität frei zu entfalten. Eine Trainerin oder Trainer ist auch hier jederzeit vor Ort, um dich bei Fragen oder Hilfestellungen zu unterstützen. 
Ein eigener Umkleidebereich, eine einladende Lounge und auch eine Kaffee- und Teeküche laden dazu ein, es sich hier auch in den Trainingspausen gemütlich zu machen. Für die bequeme Anreise ist der direkte Anschluss an die Stadtbahn der ÜSTRA gegeben, ebenso stehen euch vor dem Studio ausreichend kostenlose Parkplätze zur Verfügung.
Lerne mit uns fliegen … Wir freuen uns auf dich.","30,00 €","30,00 €",5.0,22 Rezensionen, info@studio-labelle.de,http://studio-labelle.de,+49 15150993060,https://www.eversports.de/s/la-belle,2023-04-21 00:58:22
Pole Paradise,50739,Ravensburgerstraße 110-112, 50739 Köln,"Das Pole Paradise in Köln ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden. Angeboten werden Poledance Kurse auf verschiedenen Leveln, verschiedene Gymnastikkurse an der Stange, Aerial Hoop und Aerial Flow. Es gibt auch spezielle Angebote für Kids, Workshops, Ferienrabatte und Einsteiger-Angebote. Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von Poledance im Pole Paradise überzeugen","37,00 €","37,00 €",4.9,61 Rezensionen, poleparadise@gmx.de,https://www.pole-paradise.com,491774616007,https://www.eversports.de/s/pole-paradise,2023-04-21 00:58:18
Polea - Pole and Aerial Dance,55257,Budenheimer Parkallee 5 , 55257 Budenheim,"Das Polea - Pole and Aerial Dance ist dein Studio für Pole Dance, Aerial Hoop, Aerial Yoga und Flexibility. Lea führt das Studio und sorgt mit ihrem Team für eine angenehme Gruppendynamik in den Kursen. Leas Team besteht aus zertifizierten Trainern, die dich motivieren und unterstützen. Lerne dich und deinen Körper besser kennen, stärke dein Selbstbewusstsein und sei einfach du selbst! So macht Tanzen richtig Spaß!","80,00 €","80,00 €",5.0,86 Rezensionen, info.polea@googlemail.com,0,+49 17645911101,https://www.eversports.de/s/polea-pole-and-aerial-dance,2023-04-21 00:58:20
Polearize,44793,Rottstraße 6 , 44793 Bochum,"Das Poledance-Studio Polearize liegt mitten im Herzen von Bochum und ist fußläufig vom Hauptbahnhof erreichbar. Die Anfängerkurse beginnen immer mit den absoluten Grundlagen. Du musst vorher weder sportlich sein noch tänzerische Vorerfahrung haben. Wenn Du schon länger Pole Dance tanzt, findest Du in den höheren Leveln die passende Herausforderung. Polearize liebt Sport und die Trainer geben alles, damit Du Dich wohl fühlst und Dich jedes Mal auf das Training freuen kannst. Mit Fachwissen und jahrelanger Erfahrung unterstützen wir Dich dabei, Deine Ziele effektiv und auf gesunde Weise zu erreichen. Außer Pole Dance wird auch Aerial Hoop, Stretching, Chairdance und Twerk angeboten.","10,00 €","10,00 €",4.9,73 Rezensionen, info@polearize.de,https://www.polearize.de/,+49 01636331603,https://www.eversports.de/s/polearize,2023-04-21 00:58:20
