PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
POLEDANCE NRW,40237,Rethelstraße 28 Hof , 40237 Düsseldorf,"Unser über 500 Quadratmeter großes Studio mit zwei Trainingsräumen bietet beste Trainingsvoraussetzungen speziell für Pole Dance und weitere Sportarten wie Tanz, Yoga oder Pilates.
Große Fensterfronten fangen tagsüber den Sonnenschein ein, abends erzeugt die indirekte Beleuchtung ein angenehmes Licht während die Fußbodenheizung an kalten Tagen für die optimale Wohlfühl-Temperatur sorgt.
Der weite Abstand zwischen den Stangen lässt genug Bewegungsfreiheit zu, so dass Du Deinen gesamtem Bewegungsradius nutzen kannst, die große Spiegelfläche gibt Dir visuell direktes Feedback über Deine Bewegungsausführungen, was Deine Trainings-Fortschritte noch mehr fördert indem es den Lernprozess beschleunigt!",0,4.9,42 Rezensionen, office@poledance.nrw,https://www.poledance.nrw,+49 1721010400,https://www.eversports.de/s/poledance-nrw,2023-05-05 17:55:32
PoleRoom Braunschweig,38118,Büchnerstraße 10 , 38118 Braunschweig,"Das Luftakrobatik Studio ""PoleRoom"" befindet sich im Herzen Braunschweigs, im westlichen Ringgebiet. Auf zwei Etagen mit 400 Quadratmetern findest du Kurse wie Poledance, Polefitness, Stretching, Aerial Hoop, Aerial Silks/ Vertikaltuch und Aerosling Fitness (funktionelles Schlingentraining). Das Studio in Braunschweig ist leicht mit der Straßenbahn zu erreichen, aber auch Parkplätze stehen dir zur Verfügung. Darüber hinaus werden Polepartys und Personal Trainings angeboten. Für Veranstaltungen jeglicher Art kann man auch einen Show-Auftritt buchen. Alle TrainerInnen haben eine fundierte fachliche Ausbildung.",0,4.9,37 Rezensionen, info@poleroom.de,http://www.poleroom.de/,+49 1797431729,https://www.eversports.de/s/poleroom-braunschweig,2023-05-05 17:55:33
Health & Shape München,81667,Milchstraße 4 , 81667 München,"Health & Shape | bei uns wirst du keine ""gewöhnlichen Tanz- & Fitness Kurse"" finden. Den neben unserem abwechslungsreichen Kursangebot, steht jeder Kurseinheit unter einem ""Therapeutische-Ansatz - weil uns Deine Gesundheit ganz besonders am Herzen liegt!
Unser kuschliges Studio, direkt im Zentrum von München am Rosenheimerplatz, ist geprägt von über 10 Jahren Fachwissen aus den verschiedensten Bereichen, wie: Trainingslehre, Tanzmedizin, Aerial Akrobatik, Athletic Training, Anatomie, Sportphysiotherapie, Osteopathie & Naturheilkunde.
Unsere Neueinsteiger & Beginner Kurse/Levels sind das absolute Herzstück unserer Arbeit. Den wir möchten Dir - egal in welche Richtung Du einmal gehen möchtest oder wie viel Erfahrung Du bereits gesammelt hast - den best möglichen Einstieg in die ""Aerial Artistik"" & ""Tease"" bereiten. Eben doch mehr Therapie als Training.
Mit unseren Kursen möchten wir Dir helfen fitter zu werden, Dein Körperbewusstsein und stetig Deine Gesundheit stetig zu verbessern, dabei legen wir Wert auf Trainings in kleinen Gruppen und einer familiäre Atmosphäre. Kurz um: bei uns bekommst Du die optimale Mischung aus Qualität, Humor & Motivation. Wir sind schon super gespannt Dich kennen lernen zu dürfen!",0,5.0,18 Rezensionen, info@health-and-shape.de,http://www.health-and-shape.de/,+49 17661314543,https://www.eversports.de/s/health-and-shape-muenchen,2023-05-05 17:55:34
Schönheitstanz Studio,10117,Charitestraße 4 , 10117 Berlin,"Das Schönheitstanzstudio bringt allen Teilnehmerinnen unabhängig von Alter und körperlicher Verfassung auf charmante und herzliche Art folgende Tanzarten bei bei: Pole Dance, Burlesque, Chair Dance, Lap Dance, French Cabaret, Twerking, Stretching, Yoga, High Heel Dance Kurse, Floorwork Kurse und mehr.
Das Studio liegt inmitten renommierter Nachbarschaft im Herzen von Mitte, wo Kultur, Unterhaltung und Businessleben aufeinander treffen. Interessentinnen erwarten zwei geschmackvoll eingerichtete Räume, die im Stil an die „alten Zeiten” des Schönheitstanzes erinnern.
Die regelmäßig stattfindenden Schnupperkurse sind eine entspannte Möglichkeit, herauszufinden, welche Form des Tanzens die richtige ist. Neben dem Grundangebot werden immer wieder Specials und Ergänzungskurse angeboten, in denen die eigenen Fertigkeiten und Trainingsergebnisse verfeinert und ausgebaut werden.
Studio Schönheitstanz bietet seit 2008 erfolgreich einen Wohlfühlraum für alle Frauen, um verschiedene sinnliche, sportlich-ästhetische, erotische Tanzarten zu erlernen, sich selbst kennen zu lernen, neue Grenzen zu setzen, einfach Spass zu haben ohne Wertungen und sich verdammt gut zu fühlen. Aufgrund von großer Nachfrage bietet das Studio allen Männern und denen, die Ihre feminine sinnliche Seite ausleben möchten auch die Möglichkeit zu Ihnen zu kommen und verschiedene Kurse auszuprobieren, um ein besseres Körpergefühl zu gewinnen und sich fit zu halten in einem sicheren Wohlfühlraum.",0,5.0,33 Rezensionen, studio@schoenheitstanz.de,https://schoenheitstanz.de,+49 016099746437,https://www.eversports.de/s/schoenheitstanz-studio,2023-05-05 17:55:35
Pole Land,40227,Kölner Straße 336A , 40227 Düsseldorf,"Pole Dance ist eine Sportart, die sinnlichen Tanz mit akrobatischen Elementen, Akzenten aus dem Ballett, Kraft- und Ausdauersport kombiniert.
Durch die Auseinandersetzung mit dem Sport und dem Bestreben, immer komplexere Figuren zu beherrschen, lernt man an seine Grenzen zu kommen, diese zu überwinden und sich immer wieder neuen Herausforderungen zu stellen. Diese Philosophie nehmen die Teilnehmerinnen auch mit in den Alltag. Pole Dance stärkt so neben dem Selbstbewusstsein auch das eigene Körpergefühl und die Ausstrahlung.
Es gibt kaum einen Muskel, der bei diesem Training nicht zum Einsatz kommt. Die Teilnehmerinnen entwickeln eine sehr gute Körperspannung und -Beherrschung, die man schon bald an ihrer Haltung erkennen kann. Die Kraftübungen werden mit Tanzschritten zu Choreografien zusammengesetzt, die immer wieder geübt werden, bis sie fließend ausgetanzt werden können. Ziel ist es, die Figuren und Schritte leicht und unbeschwert wirken zu lassen. Die Trainerinnen unterstützen hierbei, geben Tipps und Hilfestellungen – und so stellen sich auch die ersten Erfolgserlebnisse ein.
Alle Trainerinnen bei Pole Land haben eine zertifizierte Pole Dance Ausbildung abgeschlossen. Die Teilnehmerinnen trainieren stets unter professioneller Anleitung.",0,4.9,57 Rezensionen, info@poleland.de,https://www.poleland.de,+49 15737270967,https://www.eversports.de/s/pole-land,2023-05-05 17:55:35
Pole Faction - Pole Dance & Fitness,64297,Heidelberger Landstrasse , 64297 Darmstadt,"Wir sind ein Pole Dance Studio mit einem gemischten Angebot rund um die Pole. Das heißt ihr könnt neben klassischen Level Kursen in denen ihr Tricks und Figuren lernt auch unsere Choreo oder Heels Kurse besuchen. In regelmäßigen Abständen bieten wir zudem noch Workshops an.
Unser Studio Rhein-Neckar liegt in Hirschberg an der Bergstraße und ist gut von Mannheim, Heidelberg und Weinheim zu erreichen.
Unser Studio in Darmstadt liegt zetral im Stadtteil Eberstadt und ist gut über die A5 zu erreichen.
Wir trainieren hier in Gruppen und legen großen Wert auf Spaß am Sport und unsere freundschaftliche Atmosphäre.",0,4.7,15 Rezensionen, info@pole-faction.de,https://www.pole-faction.de,+49 15225933500,https://www.eversports.de/s/pole-faction-pole-dance-and-fitness,2023-05-05 17:55:36
Aerial Art Poledance,66287,Holzer Straße 98 , 66287 Quierschied,"Das Aerial Art Poledance in ein Poledance Studio in Quierschied. Es befindet sich unweit vom Ortszentrum und ist räumlich sehr großzügig gestaltet. Angeboten werden im Studio Poledancekurse für alle Niveaustufen, sowohl als Einzel- als auch als Gruppenunterricht. Das Studio kann aber auch fürs freie Training genutzt werden. Daneben wird bei Aerial Art Poledance auch Aerial Hoop und Movement Meditation angeboten.",0,4.9,103 Rezensionen, info@aerialart-poledance.de,http://www.aerialart-poledance.de/,01777870239,https://www.eversports.de/s/aerial-art-poledance,2023-05-05 17:55:37
Polefriends Halle,06108,Leipziger Straße 36 , 06108 Halle,"Polefriends Halle ist ein Sportstudio für diverse Formen von Poledance. Es befindet sich in Halle und bietet Interessierten Kurse für Einsteiger, Mittelstufe, Fortgeschrittene und Profis an. Außerdem sind Aufbaukurse, Pole & Burlesque Dance sowie Kurse in Lapdance & Striptease im Programm. Zusätzlich bietet das Team „Ladies Nights“ in Halle, Leipzig und Magdeburg an. Das Studio selbst ist großzügig, hell und mit viel Platz zum Ausprobieren angelegt.",0,5.0,38 Rezensionen, info@polefriends.de,http://polefriends.de/,+49 1511 7217064,https://www.eversports.de/s/polefriends-halle,2023-05-05 17:55:37
Yoga and Pole Art by Selina,53783,Zum Wingert 10 , 53783 Eitorf,"Yoga and Pole Art by Selina bietet dir Online Live Klassen (inkl. 24h Aufzeichnungen), Intensivkurse, Workshops und Personal Training in folgenden Bereichen an:
· Hatha Yoga
· Vinyasa Yoga
· Yoga Rad (auch bekannt als Yoga Wheel) für Einsteiger und Fortgeschrittene
· Aerial Yoga
· Pole Trick Training
· Spinning Pole Combos Einsteiger
· Spinning Pole Combos Intermediate
· Splits on Pole Intermediate
· Flexi Pole Tricks
· Krafttraining und Trainingsperiodisierung
· Krafttraining an der Stange
Zudem bietet dir Yoga and Pole Art by Selina zahlreiche Aufzeichnungen und Video Kurse im Pole Sport und Yoga Bereich.",0,5.0,49 Rezensionen, yogaandpoleartbyselina@gmail.com,http://www.yogaandpoleartbyselina.com,+49 15738925807,https://www.eversports.de/s/yoga-and-pole-art-by-selina,2023-05-05 17:55:38
Aerial Loft,70806,Bahnhofstraße 12 , 70806 Kornwestheim,"Du interessierst dich für Aerial Fitness wie Pole Dance oder Akrobatik mit dem Hoop? Dann nutze jetzt die Gelegenheit und komm vorbei.
Bitte beachte für die Teilnahme an den Kursen unsere geltenden Hygieneregeln: https://aerial-loft.de/studio/#hygiene-hinweise
Wachse im Aerial Loft über dich hinaus und erlebe das Gefühl von Tanz und Akrobatik vereint. Vergiss dabei die Alltagssorgen und schüttel den Stress einfach ab. Im Aerial Loft wirst du von einem professionellen Team betreut und kannst in einem Modernen und komplett ausgestatteten Studio trainieren, das dir neben den vielen Aerial-Kursen auch viele Yoga-Kurse bietet. Ob Fortgeschritten, Anfänger oder kompletter Neuling, es gibt den perfekten Kurs für jedermann. Wirf einen Blick in unseren Stundenplan oder sprich das Team direkt an.",0,4.9,51 Rezensionen, info@aerial-loft.de,http://www.aerial-loft.de,+49 1733429658,https://www.eversports.de/s/aerial-loft,2023-05-05 17:55:39
