Workshop Name,PoleStudio,Workshop Seite Eversports,Eversports Page,Version
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/x1w0Mq3Y7,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Pole Dance Probestunde *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/xFwPArnAH,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Pole Fitness *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/Sh6fqaIks,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Twerk & Chair *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/feME-_7tG,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Hard Style Exotic Pole Workshop,poda,https://www.eversports.de/e/workshop/dCR2PVd05,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/nb8_WV2wH,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
*Fortsetzung folgt...* Lady Marmalade Chair Dance Workshop,poda,https://www.eversports.de/e/workshop/cDPxswQQp,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
*Fortsetzung folgt...* Azzlack Stereotyp 2 - Exotic Pole Workshop,poda,https://www.eversports.de/e/workshop/xo_EQbOQn,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/HGkpQ9uAJ,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/Bz5neTPTa,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/3zdELX6G_,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/tUZ-pbNF0,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/5u5RfrpDC,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/RPiNq9mm6,https://www.eversports.de/sw/poda-studio,2023-05-06 21:05:44
Pole meets dance mit Anna,Pura,https://www.eversports.de/e/workshop/JruCmByb8,https://www.eversports.de/sw/pura-studio,2023-05-06 21:05:44
Rücken Fit mit dem Spinefitter,Pura,https://www.eversports.de/e/workshop/omTezbcR2,https://www.eversports.de/sw/pura-studio,2023-05-06 21:05:44
 Hoop Flow,Pura,https://www.eversports.de/e/workshop/uJKzjpYv8,https://www.eversports.de/sw/pura-studio,2023-05-06 21:05:44
Rücken Fit mit dem Spinefitter,Pura,https://www.eversports.de/e/workshop/CbHcdoEKz,https://www.eversports.de/sw/pura-studio,2023-05-06 21:05:44
Pole meets dance mit Anna,Pura,https://www.eversports.de/e/workshop/b8-Dnxtb2,https://www.eversports.de/sw/pura-studio,2023-05-06 21:05:44
Silk Mini Choreo (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/QaE6rQp4-,https://www.eversports.de/sw/airobics,2023-05-06 21:05:45
Elegant Pole Combo (Beginners),AIRobics,https://www.eversports.de/e/workshop/5D4VyOGRg,https://www.eversports.de/sw/airobics,2023-05-06 21:05:45
Musical Dance (All Levels),AIRobics,https://www.eversports.de/e/workshop/N5How40JW,https://www.eversports.de/sw/airobics,2023-05-06 21:05:45
Pole Power Tricks (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/9W9Yd45l6,https://www.eversports.de/sw/airobics,2023-05-06 21:05:45
