Workshop Name,PoleStudio,Workshop Seite Eversports,Version
Pole meets dance mit Anna,Pura,https://www.eversports.de/e/workshop/JruCmByb8,2023-05-03 17:38:28
Rücken Fit mit dem Spinefitter,Pura,https://www.eversports.de/e/workshop/omTezbcR2,2023-05-03 17:38:28
 Hoop Flow,Pura,https://www.eversports.de/e/workshop/uJKzjpYv8,2023-05-03 17:38:28
Rücken Fit mit dem Spinefitter,Pura,https://www.eversports.de/e/workshop/CbHcdoEKz,2023-05-03 17:38:28
Pole meets dance mit Anna,Pura,https://www.eversports.de/e/workshop/b8-Dnxtb2,2023-05-03 17:38:28
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/x1w0Mq3Y7,2023-05-03 17:38:28
Pole Dance Probestunde *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/xFwPArnAH,2023-05-03 17:38:28
Pole Fitness *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/Sh6fqaIks,2023-05-03 17:38:28
Twerk & Chair *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/feME-_7tG,2023-05-03 17:38:28
Hard Style Exotic Pole Workshop,poda,https://www.eversports.de/e/workshop/dCR2PVd05,2023-05-03 17:38:28
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/nb8_WV2wH,2023-05-03 17:38:28
*Fortsetzung folgt...* Lady Marmalade Chair Dance Workshop,poda,https://www.eversports.de/e/workshop/cDPxswQQp,2023-05-03 17:38:28
*Fortsetzung folgt...* Azzlack Stereotyp 2 - Exotic Pole Workshop,poda,https://www.eversports.de/e/workshop/xo_EQbOQn,2023-05-03 17:38:28
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/HGkpQ9uAJ,2023-05-03 17:38:28
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/Bz5neTPTa,2023-05-03 17:38:28
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/3zdELX6G_,2023-05-03 17:38:28
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/tUZ-pbNF0,2023-05-03 17:38:28
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/5u5RfrpDC,2023-05-03 17:38:28
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/RPiNq9mm6,2023-05-03 17:38:28
Flexibility- Front Split Shapes,Vertical,https://www.eversports.de/e/workshop/dAe0W63bv,2023-05-03 17:38:28
Contemporary Poledance,Vertical,https://www.eversports.de/e/workshop/ne2NieW5G,2023-05-03 17:38:28
Fotoshooting Posen,Vertical,https://www.eversports.de/e/workshop/Ir-2Ui5rR,2023-05-03 17:38:28
Aerial Weekend,Center,https://www.eversports.de/e/workshop/Z00aWKDcZ,2023-05-03 17:38:29
Pole Dance Anfänger 1 Kurs ,Schönheitstanz,https://www.eversports.de/e/workshop/HUorJFjfx,2023-05-03 17:38:31
Burlesque Anfängerworkshop mit Lady Lou ( Zweistündig ),Schönheitstanz,https://www.eversports.de/e/workshop/FHCKYUiH4,2023-05-03 17:38:31
Burlesque Anfängerworkshop mit Lady Lou,Schönheitstanz,https://www.eversports.de/e/workshop/3NL5wOMYS,2023-05-03 17:38:31
Burlesque Anfängerworkshop mit Lady Lou ( Zweistündig ) Teil 2,Schönheitstanz,https://www.eversports.de/e/workshop/Cms6P_dvl,2023-05-03 17:38:31
Lap Dance Teil 2,Schönheitstanz,https://www.eversports.de/e/workshop/iw3RDXcnL,2023-05-03 17:38:31
Lap Dance Teil 2 ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/8FXiuS8_E,2023-05-03 17:38:31
Selbstverteidigung speziell für Frauen Anfängerkurs,Schönheitstanz,https://www.eversports.de/e/workshop/06XhZ5mz9,2023-05-03 17:38:31
Burlesque Mittelstufenworkshop mit Lady Lou,Schönheitstanz,https://www.eversports.de/e/workshop/gBaP72xpq,2023-05-03 17:38:31
Double Pole-Workshop mit Janine Lehmann ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/VJwHZmVU1,2023-05-03 17:38:31
Double Pole Workshop mit Janine Lehmann im Studio,Schönheitstanz,https://www.eversports.de/e/workshop/yn94pDVZN,2023-05-03 17:38:31
Fortgeschrittenen-Special: Pole Dance-Workshop mit Janine Lehmann ,Schönheitstanz,https://www.eversports.de/e/workshop/kqg7Fx3Qx,2023-05-03 17:38:31
Fortgeschrittenen-Special: Pole Dance-Workshop mit Janine Lehmann ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/q8ibyU0qp,2023-05-03 17:38:31
Jenna Wilsons High Heel Walk & Dance Kurs ,Schönheitstanz,https://www.eversports.de/e/workshop/0K6smsHO3,2023-05-03 17:38:31
Twerk Basics Onlinekurs,Schönheitstanz,https://www.eversports.de/e/workshop/k_EtoRhzP,2023-05-03 17:38:31
Twerk Basics,Schönheitstanz,https://www.eversports.de/e/workshop/T0zqcJzpt,2023-05-03 17:38:31
Bedroom Burlesque mit Lady Lou THEMA: Marilyn Monroe,Schönheitstanz,https://www.eversports.de/e/workshop/j_jkhqdxZ,2023-05-03 17:38:31
Bedroom Burlesque mit Lady Lou THEMA: tba ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/cGbDoasJb,2023-05-03 17:38:31
Belly Dance mit Santina,Schönheitstanz,https://www.eversports.de/e/workshop/12BcOnsK5,2023-05-03 17:38:31
 COMING BACK Anfänger bis Fortgeschrittene Refresh,Schönheitstanz,https://www.eversports.de/e/workshop/PuBIAgNjP,2023-05-03 17:38:31
Pole Flow mit Becky* ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/RG8D48AK1,2023-05-03 17:38:31
Pole Flow mit Becky* im STUDIO ,Schönheitstanz,https://www.eversports.de/e/workshop/p86MBVtUB,2023-05-03 17:38:31
Fortgeschrittene-Special: Pole Dance-Workshop mit Becky* ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/papZgmdne,2023-05-03 17:38:31
Fortgeschrittenen-Special: Pole Dance-Workshop mit Becky*,Schönheitstanz,https://www.eversports.de/e/workshop/tJwMcBIkc,2023-05-03 17:38:31
Love on Heels - High Heel Walk & Selbstbewusstseins-Workshop mit Harpy Fatale,Schönheitstanz,https://www.eversports.de/e/workshop/61QIprNaf,2023-05-03 17:38:31
Twerk Mixed ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/jC8cZkyuD,2023-05-03 17:38:31
Twerk Mixed,Schönheitstanz,https://www.eversports.de/e/workshop/Y32uaMbh4,2023-05-03 17:38:31
Sensual Pole Dance mit Kaya ,Schönheitstanz,https://www.eversports.de/e/workshop/EFeiSQ1GN,2023-05-03 17:38:31
Sensual Pole Dance mit Kaya ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/QGLAOz7fx,2023-05-03 17:38:31
Lap Dance & Strip 'n' Tease Workshop ,Schönheitstanz,https://www.eversports.de/e/workshop/uHZYWxiZz,2023-05-03 17:38:31
Sensual Floorwork mit Kaya,Schönheitstanz,https://www.eversports.de/e/workshop/cBOwp-Yb3,2023-05-03 17:38:31
Sensual Floorwork mit Kaya ONLINE ,Schönheitstanz,https://www.eversports.de/e/workshop/Gw_l_zXs1,2023-05-03 17:38:31
Lap Dance & Strip 'n' Tease Online Workshop ,Schönheitstanz,https://www.eversports.de/e/workshop/OjGR_JBOx,2023-05-03 17:38:31
Ayesha- und Handspring-Workshop mit Janine ONLINE ,Schönheitstanz,https://www.eversports.de/e/workshop/Grl5T6rA9,2023-05-03 17:38:31
Ayesha- & Handspring-Workshop mit Janine,Schönheitstanz,https://www.eversports.de/e/workshop/1zFfGTjbA,2023-05-03 17:38:31
Spinning Pole Dance mit Janine Lehmann,Schönheitstanz,https://www.eversports.de/e/workshop/yds9I5B5H,2023-05-03 17:38:31
Spinning Pole Dance mit Janine Lehmann ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/hXBR9brhB,2023-05-03 17:38:31
Burlesque Anfängerworkshop mit Lady Lou,Schönheitstanz,https://www.eversports.de/e/workshop/JM4nctfos,2023-05-03 17:38:31
Sensual Pole Dance mit Becky* ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/0sTydMVnq,2023-05-03 17:38:31
Sensual Pole Dance mit Becky*,Schönheitstanz,https://www.eversports.de/e/workshop/HHufWxFDu,2023-05-03 17:38:31
Twerk Basics ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/okqB8shN1,2023-05-03 17:38:31
Twerk Basics,Schönheitstanz,https://www.eversports.de/e/workshop/PlW81366w,2023-05-03 17:38:31
Tag der offenen Tür - Schnuppertease Special,Schönheitstanz,https://www.eversports.de/e/workshop/ij8k5JaK4,2023-05-03 17:38:31
Exotic Dance mit Becky*,Schönheitstanz,https://www.eversports.de/e/workshop/bc_MSY5Gf,2023-05-03 17:38:31
Exotic Dance mit Becky* ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/hcXhX8xf3,2023-05-03 17:38:31
Lap Dance & Strip 'n' Tease Workshop ,Schönheitstanz,https://www.eversports.de/e/workshop/3uhreXVab,2023-05-03 17:38:31
Lap Dance & Strip 'n' Tease ONLINE,Schönheitstanz,https://www.eversports.de/e/workshop/CHPsVXcAA,2023-05-03 17:38:31
" Burlesque-Workshop ""sexy Floorwork"" mit Tania Giovo",Schönheitstanz,https://www.eversports.de/e/workshop/yPj0JwNAa,2023-05-03 17:38:31
Belly Dance mit Santina,Schönheitstanz,https://www.eversports.de/e/workshop/Imd83DT6Y,2023-05-03 17:38:31
Exotic Dance Basics Online mit Agata ,Schönheitstanz,https://www.eversports.de/e/workshop/qfWWyRnZc,2023-05-03 17:38:31
Exotic Dance Basics mit Agata ,Schönheitstanz,https://www.eversports.de/e/workshop/1nljuUNDN,2023-05-03 17:38:31
 KIRA NOIRE - DEADLIFT TECHNIQUES,Royal,https://www.eversports.de/e/workshop/szNF1253W,2023-05-03 17:38:31
KIRA NOIRE - STRIP PLASTIQUE,Royal,https://www.eversports.de/e/workshop/Iab5khYmt,2023-05-03 17:38:31
 KIRA NOIRE - EXOTIC POLE TRICKS,Royal,https://www.eversports.de/e/workshop/8eTWGWFFv,2023-05-03 17:38:31
