PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Schnupperkurspreis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
Body meets Soul Leipzig,04159,Hüfnerstraße , 04159 Leipzig,"„Sorge dich gut um deinen Körper. Es ist der einzige Ort, den du zum Leben hast.“
– Jim Rohn –
Bei BodymeetsSoul steht nicht nur dein Körper im Mittelpunkt. Körper und Geist sind untrennbar miteinander verbunden. Egal ob Yoga oder/und Poledance – ich biete dir Bewegung bei gleichzeitiger Entschleunigung. Ich helfe dir, an deine Grenzen zu gehen, sie zu respektieren und mit ihnen zu spielen. Fordere dich, aber überfordere dich nicht. Du bist verantwortlich für deinen Erfolg – ich für den Prozess.","10,00 €","10,00 €",5.0,6 Rezensionen, info@bodymeetssoul-leipzig.de,http://www.bodymeetssoul-leipzig.de,+49  1573 1360379,https://www.eversports.de/s/body-meets-soul-leipzig,2023-05-02 00:18:00
Pole Paradise,50739,Ravensburgerstraße 110-112, 50739 Köln,"Das Pole Paradise in Köln ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden. Angeboten werden Poledance Kurse auf verschiedenen Leveln, verschiedene Gymnastikkurse an der Stange, Aerial Hoop und Aerial Flow. Es gibt auch spezielle Angebote für Kids, Workshops, Ferienrabatte und Einsteiger-Angebote. Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von Poledance im Pole Paradise überzeugen","37,00 €","37,00 €",4.9,61 Rezensionen, poleparadise@gmx.de,https://www.pole-paradise.com,+491774616007,https://www.eversports.de/s/pole-paradise,2023-05-02 00:18:02
Niyaha Yoga Susann Kind,98617,Eduard-Fritze-Straße 5, 98617 Meiningen,"Namasté - Welcome Yogi,
herzlich willkommen im gemütlichen Yogastudio ""Niyaha"" in Meiningen. Die Lehrenden lieben es Yoga zu unterrichten und lieben es für dich eine angenehme Atmosphäre zu schaffen, also fühle dich von ganzem Herzen eingeladen, einzutreten, in deinen neuen Yoga-Ort. Fühle dich wohl, genieße die Zeit für dich und mit dir - Genieße einen Ort der dir Ruhe und Kraft schenkt, der dich vielleicht sogar herausfordert. ErLEBE deine Quality time im Niyaha Yoga-Studio und Entdecke DICH!","10,00 €","10,00 €",4.9,19 Rezensionen, info@niyaha-yoga.de,https://www.niyaha-yoga.de,015115100895,https://www.eversports.de/s/niyaha-yoga-susann-kind,2023-05-02 00:18:03
Center of Moving Arts,64625,Fabrikstraße 21, 64625 Bensheim,"Das Center of Moving Arts liegt 100m entfernt vom Edeka Jakobi Center in Bensheim.
Das Studio hat 3 Tanzräume und eine gemütliche Bar mit über 700qm. Liebevoll eingerichtet mit einer Lounge erwartet dich ein Tanzzentrum mit Stil und Charme im ""Industrial - Look"". Du kannst frei nach belieben Kurse wie Pole-Dance, Aerial Hoop, Hip Hop / New Style / Millennium Classes / Videoclip, Jazz / Modern / Contemporary, Bungee Dance und Yoga buchen. Die ausnahmslos professionell ausgebildete Dance-Coaches sorgen in jedem Style für Energie, Niveau und Spaß.
Du erreichst das Center of Moving Arts zu Fuß in 10min vom Hauptbahnhof und hast direkt vor unserem Center Parkmöglichkeiten.","10,00 €","10,00 €",4.9,18 Rezensionen, info@center-of-moving-arts.de,http://www.center-of-moving-arts.de,+4962519447196,https://www.eversports.de/s/center-of-moving-arts,2023-05-02 00:18:03
Da Becca Flow and Fit,44651,Eickeler Markt 3A , 44651 Herne,"Für Neukunden-bitte eine Email bei Interesse an unseren Kursen an info@dabecca.de .
Da Becca Flow and Fit - wir heissen Dich herzlich willkommen in unserem wunderschönen Pole/Floorwork/ Tanzstudio. Hier wird wert auf persönliche und kleine Lerngruppen gelegt und Dir ein Safespace für Frauen mit professioneller Betreuung geboten. Trainingserfolge mit Spass , viel Musik, Tanzen und auch schweisstreibenden Stretching und Choreos. Mal sensual, mal rockig , mal contemporary . Wir haben Dir im kleinen rahmen viel zu bieten . Wir freuen uns auf das Tanzerlebnis mit Dir oder auch in unseren Mobility Kursen mit Dir an Deiner flexibilität und Kraft zu arbeiten !!!
Wir arbeiten mit Flatrates und 10 und 5 er Karten daher seid euch bitte im klaren das nicht immer gewährleistet ist das ihr euren Wunschkurs jede Woche belegen könnt dafür aber bis zu 80 Kurse im Monat zur Auswahl habt !!","49,00 €","49,00 €",5.0,21 Rezensionen, info@dabecca-flowandfit.de,http://www.dabecca-flowandfit.de,+49 17620913644,https://www.eversports.de/s/da-becca-flow-and-fit,2023-05-02 00:18:04
AIRobics,22081,Holsteinischer Kamp 58 , 22081 Hamburg,"Bei AIRobics geht es, wie der Name schon vermuten lässt, um Bewegungen in der Luft. Genauer, es ist ein Studio für Luftakrobatik und Tanz. Bei uns erlernst du atemberaubende Tricks, Kombinationen und auch ganze Choreographien an der Pole, dem Aerial Silk, dem Aerial Hoop und dem Aerial Hammock. Darüber hinaus kannst du deine Fitness und Flexibilität in verschiedenen Bodenkursen verbessern. Und an alle Eltern: AIRobics hat ein auch ein vielseitiges Angebot für Kinder!","15,00 €","15,00 €",4.9,45 Rezensionen, dance@airobics.de,https://airobics.de/,+49 15117626559,https://www.eversports.de/s/airobics,2023-05-02 00:18:04
Aerial Art Poledance,66287,Holzer Straße 98 , 66287 Quierschied,"Das Aerial Art Poledance in ein Poledance Studio in Quierschied. Es befindet sich unweit vom Ortszentrum und ist räumlich sehr großzügig gestaltet. Angeboten werden im Studio Poledancekurse für alle Niveaustufen, sowohl als Einzel- als auch als Gruppenunterricht. Das Studio kann aber auch fürs freie Training genutzt werden. Daneben wird bei Aerial Art Poledance auch Aerial Hoop und Movement Meditation angeboten.","10,00 €","10,00 €",4.9,103 Rezensionen, info@aerialart-poledance.de,http://www.aerialart-poledance.de/,01777870239,https://www.eversports.de/s/aerial-art-poledance,2023-05-02 00:18:05
POLEDANCE NRW,40237,Rethelstraße 28 Hof , 40237 Düsseldorf,"Unser über 500 Quadratmeter großes Studio mit zwei Trainingsräumen bietet beste Trainingsvoraussetzungen speziell für Pole Dance und weitere Sportarten wie Tanz, Yoga oder Pilates.
Große Fensterfronten fangen tagsüber den Sonnenschein ein, abends erzeugt die indirekte Beleuchtung ein angenehmes Licht während die Fußbodenheizung an kalten Tagen für die optimale Wohlfühl-Temperatur sorgt.
Der weite Abstand zwischen den Stangen lässt genug Bewegungsfreiheit zu, so dass Du Deinen gesamtem Bewegungsradius nutzen kannst, die große Spiegelfläche gibt Dir visuell direktes Feedback über Deine Bewegungsausführungen, was Deine Trainings-Fortschritte noch mehr fördert indem es den Lernprozess beschleunigt!","20,00 €","20,00 €",4.9,42 Rezensionen, office@poledance.nrw,https://www.poledance.nrw,+49 1721010400,https://www.eversports.de/s/poledance-nrw,2023-05-02 00:18:06
Pole Dance Palazzo Sportivo,69190,Rudolf-Diesel-Straße 54 , 69190 Walldorf,"Herzlich Willkommen zum Online Buchungssystem vom Palazzo Sportivo. Hier kannst du unsere Pole & Aerial Klassen ganz bequem online buchen. Wir bieten, Pole Dance, Stretch&Flex, Aerial Hoop, Pole in Heels und viele weiteren Klassen in verschiedenen Levels an. Du wirst ausschließlich von einem speziell für Pole & Aerial Sportarten ausgebildeten Team unterrichtet und hast immer deine eigene Stange in allen Pole Dance Klassen.","80,00 €","80,00 €",4.9,16 Rezensionen, pole@palazzo-sportivo.de,http://www.poledance-rheinneckar.de,+49 15678684972,https://www.eversports.de/s/pole-dance-palazzo-sportivo,2023-05-02 00:18:06
BALANCE Neumarkt,92318,Deininger Weg 94 , 92318 Neumarkt in der Oberpfalz,"BALANCE Neumarkt ist ein Kursstudio mit einem sehr breiten Online- und Studioprogramm. Es befindet sich in Neumarkt in der Oberpfalz, unweit von der Bushaltestelle Regensburger Straße. Angeboten werden Tanzkurse (Jazz Dance, Dance Kids, Streedance & Funky Jazz), Poledance, Yoga, Pilates, Sings und vieles mehr. Bei BALANCE Neumarkt werden sowohl regelmäßige Klassen als auch aufbauende Kurse und einmalige Workshops angeboten. Seit 2020 steht allen Kunden eine Online-Videothek zur Verfügung. Videos können einzeln gekauft oder mit dem entsprechenden Service erworben werden.","0,00 €","0,00 €",4.9,92 Rezensionen, studio@balance-neumarkt.de,http://www.balance-neumarkt.de,+49 160 80 20 246,https://www.eversports.de/s/balance-neumarkt,2023-05-02 00:18:06
