Workshop Name,Workshop Beschreibung,PoleStudio,Stadt,Straße,Datum,Uhrzeit,Dauer,Level,Trainer,Trainer Beschreibung,Preis,Workshop Everest Seite,PoleStudio Eversports Seite,Version
Aerial Yoga Alle Level 120 Min 49 p P ,"Aerial Yoga kombiniert Elemente aus der Luftartistik mit klassischen Yoga-Haltungen, die hängend in einem seidig weichem Tuch ausgeführt werden. Das Tuch wirkt dabei unterstützend, mindert den Druck auf die Bandscheiben und entlastet so die Wirbelsäule. Sonst körperlich schwere Umkehrhaltungen können beim Aerial Yoga mit Leichtigkeit ausgeführt werden. Zudem dient das Tuch als Kräftigungswerkzeug - wie man es aus aus Schlingentrainings (z.B. TRX) kennt - und das Schwingen, Schaukeln und Drehen stimuliert nicht nur das vestibuläre System (Gleichgewichtssinn), es macht auch einfach Spaß.Über Stefanie...“Do not fear failure but rather fear not trying.” ― Roy T. Bennett""Wie das echte Leben kann uns (Aerial) Yoga manchmal herausfordern! Seit 2014 unterrichte ich regelmäßig Aerial Yoga Kurse und Workshops. Ich habe schon hunderte Menschen dabei begleitet, ihre Ängste vor dem Loslassen und auch vor dem Sich-Fallenlassen zu überwinden.Umkehrhaltungen wie Schulter- oder Handstand bergen auf der Matte ihre ganz eigenen Hürden, die ich mit Hilfe des Tuches und einer klaren Anleitung sicher erlebbar mache. Mein Fokus einer Yogastunde liegt auf einer gesunden und sicheren Ausrichtung und darauf, die Balance zwischen Anspannung, Entspannung und einer guten Portion Humor zu finden.Manchmal überschreiten wir gemeinsam (vermeintliche) Grenzen, um anschließend mit einem strahlenden Lächeln und bestenfalls auch emotional gestärkt und genährt aus dem Tuch zu steigen.Manchmal werden wir still und lassen uns einfach sein, um danach beseelt und ruhig wieder in unseren Alltag einzusteigen.""Aerial Yoga kombiniert Elemente aus der Luftartistik mit klassischen Yoga-Haltungen, die hängend in einem seidig weichem Tuch ausgeführt werden. Das Tuch wirkt dabei unterstützend, mindert den Druck auf die Bandscheiben und entlastet so die Wirbelsäule. Sonst körperlich schwere Umkehrhaltungen können beim Aerial Yoga mit Leichtigkeit ausgeführt werden. Zudem dient das Tuch als Kräftigungswerkzeug - wie man es aus aus Schlingentrainings (z.B. TRX) kennt - und das Schwingen, Schaukeln und Drehen stimuliert nicht nur das vestibuläre System (Gleichgewichtssinn), es macht auch einfach Spaß.Über Stefanie...“Do not fear failure but rather fear not trying.” ― Roy T. Bennett""Wie das echte Leben kann uns (Aerial) Yoga manchmal herausfordern! Seit 2014 unterrichte ich regelmäßig Aerial Yoga Kurse und Workshops. Ich habe schon hunderte Menschen dabei begleitet, ihre Ängste vor dem Loslassen und auch vor dem Sich-Fallenlassen zu überwinden.Umkehrhaltungen wie Schulter- oder Handstand bergen auf der Matte ihre ganz eigenen Hürden, die ich mit Hilfe des Tuches und einer klaren Anleitung sicher erlebbar mache. Mein Fokus einer Yogastunde liegt auf einer gesunden und sicheren Ausrichtung und darauf, die Balance zwischen Anspannung, Entspannung und einer guten Portion Humor zu finden.Manchmal überschreiten wir gemeinsam (vermeintliche) Grenzen, um anschließend mit einem strahlenden Lächeln und bestenfalls auch emotional gestärkt und genährt aus dem Tuch zu steigen.Manchmal werden wir still und lassen uns einfach sein, um danach beseelt und ruhig wieder in unseren Alltag einzusteigen.""",aerialflow,Gelsenkirchen,"Pfefferackerstraße 2a, 45894 Gelsen",29.04.2023,11:00-13:00 Uhr,20 min,Alle Level,Stefanie,"“Do not fear failure but rather fear not trying.” ― Roy T. Bennett ""Wie das echte Leben kann uns (Aerial) Yoga manchmal herausfordern! Seit 2014 unterrichte ich regelmäßig Aerial Yoga Kurse und Workshops. Ich habe schon hunderte Menschen dabei begleitet, ihre Ängste vor dem Loslassen und auch vor dem Sich-Fallenlassen zu überwinden.","Preis: 49,00 €",https://www.eversports.de/e/workshop/L4J3LvFS-,https://www.eversports.de/s/aerialflow,2023-04-21 00:46:37
Exotic Pole Choreo Externer Beginner Workshop by Alexandra Po 45 ,"The course consists of a warm-up for exotic dances and movement techniques, learning a choreography and a cool-down.Warm-up of muscles and necessary joints consists mainly of basic Exotic PD movements performed standing and on the floor. During this you will analyze basic leg techniques and body waves (15-20 minutes).After that Alexandra will show and explain even the most complicated parts of the choreo (15-20 minutes). Then you will learn the choreo (40-45 minutes of the course).After at least some participants have learned the choreo, Alexandra will let the students dance without her so that she can see the dancers and give them feedback during the breaks between attempts.For the last few attempts, she usually offers to film the entire group dancing the choreo (if the participants want her to).At the end of the class you will do 5-10 minutes of cool-down (mainly stretching the shoulders, chest and calf muscles).About AlexandraInsta:  https://www.instagram.com/alexandrra_po/The course consists of a warm-up for exotic dances and movement techniques, learning a choreography and a cool-down.Warm-up of muscles and necessary joints consists mainly of basic Exotic PD movements performed standing and on the floor. During this you will analyze basic leg techniques and body waves (15-20 minutes).After that Alexandra will show and explain even the most complicated parts of the choreo (15-20 minutes). Then you will learn the choreo (40-45 minutes of the course).After at least some participants have learned the choreo, Alexandra will let the students dance without her so that she can see the dancers and give them feedback during the breaks between attempts.For the last few attempts, she usually offers to film the entire group dancing the choreo (if the participants want her to).At the end of the class you will do 5-10 minutes of cool-down (mainly stretching the shoulders, chest and calf muscles).About AlexandraInsta:  https://www.instagram.com/alexandrra_po/",aerialflow,Gelsenkirchen,"Pfefferackerstraße 2a, 45894 Gelsen",26.05.2023,18:30-20:00 Uhr,90 min,0,0,0,"Preis: 45,00 €",https://www.eversports.de/e/workshop/ocz15aUrk,https://www.eversports.de/s/aerialflow,2023-04-21 00:46:37
Teens Circus Luftakrobatik für Teenies 35 p P ,"Im Frühling möchten wir den Jung-Akrobatinnen und Akrobaten etwas ganz Besonderes anbieten. In unserem Teens Circus können Teenager zwischen 10 und 13 Jahren an all unseren Luftakrobatik-Geräten turnen:Wir beginnen mit lockeren Aufwärmübungen und lernen uns erst einmal kennen. Anschließend erfahrt ihr alle wichtigen Regeln des sicheren Umgangs mit allen Geräten bevor wir euch tolle akrobatische Figuren an der Stange, dem Luftring und auch dem Tuch erklären. Verliert auf angenehme wiese den Boden unter den Füßen und erlebt einen aufregenden Vormittag.Im Frühling möchten wir den Jung-Akrobatinnen und Akrobaten etwas ganz Besonderes anbieten. In unserem Teens Circus können Teenager zwischen 10 und 13 Jahren an all unseren Luftakrobatik-Geräten turnen:Wir beginnen mit lockeren Aufwärmübungen und lernen uns erst einmal kennen. Anschließend erfahrt ihr alle wichtigen Regeln des sicheren Umgangs mit allen Geräten bevor wir euch tolle akrobatische Figuren an der Stange, dem Luftring und auch dem Tuch erklären. Verliert auf angenehme wiese den Boden unter den Füßen und erlebt einen aufregenden Vormittag.",aerialflow,Gelsenkirchen,"Pfefferackerstraße 2a, 45894 Gelsen",07.05.2023,10:00-12:00 Uhr,20 min,Anfänger,Rina,RINA * Pole-Trainerin (Polebatics™),"Preis: 35,00 €",https://www.eversports.de/e/workshop/2Z7k2Uxjh,https://www.eversports.de/s/aerialflow,2023-04-21 00:46:37
Aerial Yoga Stretch All Levels ,"In diesem Workshop wird fleißig der ganze Körper gestretched und sich bei Aerial Yoga im Hammock entspannt. Dieser Workshop ist die beste Vorbereitung für alle weiteren Workshops an diesem Tag.Level: Alle LevelsVoraussetzungen: keine, nur Lust auf Stretching & EntspannungKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder LangarmshirtIn diesem Workshop wird fleißig der ganze Körper gestretched und sich bei Aerial Yoga im Hammock entspannt. Dieser Workshop ist die beste Vorbereitung für alle weiteren Workshops an diesem Tag.Level: Alle LevelsVoraussetzungen: keine, nur Lust auf Stretching & EntspannungKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder Langarmshirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,10:45-12:00 Uhr,75 min,Alle Level,Lisa,0,"Preis: 0,00 €",https://www.eversports.de/e/workshop/4NzxSWm-T,https://www.eversports.de/s/airobics,2023-04-21 00:46:39
Backbend Stretching All Levels ,"In diesem Workshop wirst du optimal auf deine Brücke bzw. andere Backbend-Figuren vorbereitet.Level: Alle LevelsVoraussetzungen: keine, nur Lust den Backbend zu verbessern bzw. flexibler zu werdenKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder LangarmshirtIn diesem Workshop wirst du optimal auf deine Brücke bzw. andere Backbend-Figuren vorbereitet.Level: Alle LevelsVoraussetzungen: keine, nur Lust den Backbend zu verbessern bzw. flexibler zu werdenKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder Langarmshirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,15:15-16:15 Uhr,60 min,Alle Level,Nadja,"Ich bin Nadja, die Gründerin von AIRobics und leidenschaftfliche Pole - & Aerial Tänzerin.
Nach meinem Master Studium in International Management habe ich 2,5 Jahre in einer Unternehmensberatung gearbeitet und mir dann im September 2020 endlich meinen großen Traum vom eigenen Studio erfüllt.
Ich würde mich auf jeden Fall als Akrobatin bezeichnen, bin aber vorallem Tänzerin. Was, als ich 6 Jahre war, mit Ballett begann, ging 11 Jahre lang weiter mit Rhythmischer Sportgymnastik bis hin zu Pole Dance im Jahr 2013. In den letzten paar Jahren habe ich dann auch meine Passion für Aerial Silk und -Hammock entdeckt.
2016 habe ich den 2. Platz auf der Deutschen Meisterschaft (Mr. & Mrs. Pole Dance Germany) belegt - definitiv einer meiner Höhepunkte in meiner Pole Dance Geschichte.
Ich bin zertifizierte Pole Dance Trainerin und auch ausgebildet speziell Kinder im Bereich Luftakrobatik und Tanz zu unterrichten.
Bei AIRobics gebe ich Kurse in den Bereichen Pole Dance (Tricks und Choreographie), Silk, Hammock, Stretching und Bodenakrobatik.
""Ich möchte meinen Teil dazu beitragen, Dir das gleiche unfassbar gute Gefühl zu geben, was Pole - & Aerial Dance bei mir auslöst!""","Preis: 0,00 €",https://www.eversports.de/e/workshop/OXSt71Hbq,https://www.eversports.de/s/airobics,2023-04-21 00:46:40
Double Trouble Pole Hoop Doubles All Levels ,"In diesem Workshop zeigen dir gleich 4 Trainerinnen (Alexa, Malou, Patricia, Nadja) coole Double Tricks an der Pole und am Hoop.Level: Alle Levels (du solltest aber kein blutiger Anfänger sein)Voraussetzungen: keine, außer Lust auf Double Tricks :)Kleidung: lange & kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, Sport-BH und LangarmshirtIn diesem Workshop zeigen dir gleich 4 Trainerinnen (Alexa, Malou, Patricia, Nadja) coole Double Tricks an der Pole und am Hoop.Level: Alle Levels (du solltest aber kein blutiger Anfänger sein)Voraussetzungen: keine, außer Lust auf Double Tricks :)Kleidung: lange & kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, Sport-BH und Langarmshirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,18:15-19:30 Uhr,75 min,Alle Level,Nadja,"Ich bin Nadja, die Gründerin von AIRobics und leidenschaftfliche Pole - & Aerial Tänzerin.
Nach meinem Master Studium in International Management habe ich 2,5 Jahre in einer Unternehmensberatung gearbeitet und mir dann im September 2020 endlich meinen großen Traum vom eigenen Studio erfüllt.
Ich würde mich auf jeden Fall als Akrobatin bezeichnen, bin aber vorallem Tänzerin. Was, als ich 6 Jahre war, mit Ballett begann, ging 11 Jahre lang weiter mit Rhythmischer Sportgymnastik bis hin zu Pole Dance im Jahr 2013. In den letzten paar Jahren habe ich dann auch meine Passion für Aerial Silk und -Hammock entdeckt.
2016 habe ich den 2. Platz auf der Deutschen Meisterschaft (Mr. & Mrs. Pole Dance Germany) belegt - definitiv einer meiner Höhepunkte in meiner Pole Dance Geschichte.
Ich bin zertifizierte Pole Dance Trainerin und auch ausgebildet speziell Kinder im Bereich Luftakrobatik und Tanz zu unterrichten.
Bei AIRobics gebe ich Kurse in den Bereichen Pole Dance (Tricks und Choreographie), Silk, Hammock, Stretching und Bodenakrobatik.
""Ich möchte meinen Teil dazu beitragen, Dir das gleiche unfassbar gute Gefühl zu geben, was Pole - & Aerial Dance bei mir auslöst!""","Preis: 0,00 €",https://www.eversports.de/e/workshop/qBTTLinaz,https://www.eversports.de/s/airobics,2023-04-21 00:46:40
Dynamic Static Pole Int Adv ,"In diesem Workshop lernst du mega coole Tricks an der Static PoleLevel: fortgeschrittene MittelstufeVoraussetzungen: Aerial Invert, Shouldermount, Extended ButterflyKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses ShirtIn diesem Workshop lernst du mega coole Tricks an der Static PoleLevel: fortgeschrittene MittelstufeVoraussetzungen: Aerial Invert, Shouldermount, Extended ButterflyKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses Shirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,15:15-16:30 Uhr,75 min,Fortgeschritten,Alexa,0,"Preis: 0,00 €",https://www.eversports.de/e/workshop/tGmtMUawU,https://www.eversports.de/s/airobics,2023-04-21 00:46:40
Elegant Pole Combo Beginners ,"In diesem Workshop lernst du eine elegante Combo an der PoleLevel: Anfänger (Nicht für blutige Anfänger geeignet)Voraussetzungen: KletternKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses ShirtIn diesem Workshop lernst du eine elegante Combo an der PoleLevel: Anfänger (Nicht für blutige Anfänger geeignet)Voraussetzungen: KletternKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses Shirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",25.08.2023,17:00-18:15 Uhr,75 min,Anfänger,Patricia,"Moin ihr Lieben, ich bin Patricia, waschechte norddeutsche Deern und seit Sommer 2022 im AIRobics-Team.
Im Alltag habe ich einen „typischen“ Bürojob in der Finanzplanung einer Hamburger Firma.
Ich habe schon immer Sport gemacht und vieles ausprobiert. Im Sommer 2020 habe ich mich dann auch mal im Pole versucht und sofort meine Leidenschaft dafür gefunden, die mit nichts vorherigem zu vergleichen ist. Daraus folgte dann im
Sommer 2022 die Ausbildung zur Pole Trainerin für Beginner und Intermediate. Das Ende der sportlichen Fahnenstange ist allerdings sicher noch nicht erreicht!
Bei AIRobics unterrichte ich Pole Acrobatics Beginner/Intermediate Kurse.
„Ich zeige dir die Pole-Welt, wie sie mir - und hoffentlich auch dir- gefällt.“","Preis: 0,00 €",https://www.eversports.de/e/workshop/5D4VyOGRg,https://www.eversports.de/s/airobics,2023-04-21 00:46:38
Energetic Pole Combo Intermediate ,"In diesem Workshop lernst du eine energetische Combo an der Pole.Level: MittelstufeVoraussetzungen: Invert, Leg Hang, ButterflyKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses ShirtIn diesem Workshop lernst du eine energetische Combo an der Pole.Level: MittelstufeVoraussetzungen: Invert, Leg Hang, ButterflyKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses Shirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,12:15-13:30 Uhr,75 min,Intermediate,Steffi,"Mein Name ist Steffi, ich arbeite Hauptberuflich als Controllerin in der Konzernkonsolidierung und Pole Dance ist mein absolutes Lieblingshobby.
Ich habe Anfang 2015 mit Pole begonnen. Ich war schon immer sportlich, habe vor Pole aber nichts vergleichbares gemacht. Trotzdem entwickelte sich unglaublich schnell eine riesen Leidenschaft für mich, weshalb ich auch seitdem mehrere Male die Woche trainiere.
Im Dezember 2019 habe ich bei der PSO (Pole Sport Organsiation) Meisterschaft in Amsterdam und in meiner Kategorie den 3. Platz belegt.
Mittlerweile kann ich mir Pole Dance aus meinem Leben garnicht mehr wegdenken.
Bei AIRobics unterrichte ich Pole Acrobatics Beginner - und Pole Acrobatics Beginner/Intermediate Kurse.
""Mein Motto ist ja immer: jeder kann ALLES schaffen!""","Preis: 0,00 €",https://www.eversports.de/e/workshop/KIrKTpz2H,https://www.eversports.de/s/airobics,2023-04-21 00:46:39
Front Middlesplit Stretching All Levels ,"In diesem Workshop wirst du optimal auf deinen Front- & Middlesplit vorbereitet.Level: Alle LevelsVoraussetzungen: keine, nur Lust Spagat zu lernen bzw. flexibler zu werdenKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder LangarmshirtIn diesem Workshop wirst du optimal auf deinen Front- & Middlesplit vorbereitet.Level: Alle LevelsVoraussetzungen: keine, nur Lust Spagat zu lernen bzw. flexibler zu werdenKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder Langarmshirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,12:30-13:30 Uhr,60 min,Alle Level,Nadja,"Ich bin Nadja, die Gründerin von AIRobics und leidenschaftfliche Pole - & Aerial Tänzerin.
Nach meinem Master Studium in International Management habe ich 2,5 Jahre in einer Unternehmensberatung gearbeitet und mir dann im September 2020 endlich meinen großen Traum vom eigenen Studio erfüllt.
Ich würde mich auf jeden Fall als Akrobatin bezeichnen, bin aber vorallem Tänzerin. Was, als ich 6 Jahre war, mit Ballett begann, ging 11 Jahre lang weiter mit Rhythmischer Sportgymnastik bis hin zu Pole Dance im Jahr 2013. In den letzten paar Jahren habe ich dann auch meine Passion für Aerial Silk und -Hammock entdeckt.
2016 habe ich den 2. Platz auf der Deutschen Meisterschaft (Mr. & Mrs. Pole Dance Germany) belegt - definitiv einer meiner Höhepunkte in meiner Pole Dance Geschichte.
Ich bin zertifizierte Pole Dance Trainerin und auch ausgebildet speziell Kinder im Bereich Luftakrobatik und Tanz zu unterrichten.
Bei AIRobics gebe ich Kurse in den Bereichen Pole Dance (Tricks und Choreographie), Silk, Hammock, Stretching und Bodenakrobatik.
""Ich möchte meinen Teil dazu beitragen, Dir das gleiche unfassbar gute Gefühl zu geben, was Pole - & Aerial Dance bei mir auslöst!""","Preis: 0,00 €",https://www.eversports.de/e/workshop/jx8bzqdYN,https://www.eversports.de/s/airobics,2023-04-21 00:46:39
