Workshop Name,PoleStudio,Workshop Seite Eversports,Eversports Page,Version
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/x1w0Mq3Y7,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Pole Dance Probestunde *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/xFwPArnAH,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Pole Fitness *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/Sh6fqaIks,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Twerk & Chair *Poda Birthday Special* Free,poda,https://www.eversports.de/e/workshop/feME-_7tG,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Hard Style Exotic Pole Workshop,poda,https://www.eversports.de/e/workshop/dCR2PVd05,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/nb8_WV2wH,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
*Fortsetzung folgt...* Lady Marmalade Chair Dance Workshop,poda,https://www.eversports.de/e/workshop/cDPxswQQp,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
*Fortsetzung folgt...* Azzlack Stereotyp 2 - Exotic Pole Workshop,poda,https://www.eversports.de/e/workshop/xo_EQbOQn,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/HGkpQ9uAJ,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/Bz5neTPTa,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/3zdELX6G_,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/tUZ-pbNF0,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/5u5RfrpDC,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Circus Kids Luftakrobatik Workshop,poda,https://www.eversports.de/e/workshop/RPiNq9mm6,https://www.eversports.de/sw/poda-studio,2023-05-06 21:08:22
Pole meets dance mit Anna,Pura,https://www.eversports.de/e/workshop/JruCmByb8,https://www.eversports.de/sw/pura-studio,2023-05-06 21:08:22
Rücken Fit mit dem Spinefitter,Pura,https://www.eversports.de/e/workshop/omTezbcR2,https://www.eversports.de/sw/pura-studio,2023-05-06 21:08:22
 Hoop Flow,Pura,https://www.eversports.de/e/workshop/uJKzjpYv8,https://www.eversports.de/sw/pura-studio,2023-05-06 21:08:22
Rücken Fit mit dem Spinefitter,Pura,https://www.eversports.de/e/workshop/CbHcdoEKz,https://www.eversports.de/sw/pura-studio,2023-05-06 21:08:22
Pole meets dance mit Anna,Pura,https://www.eversports.de/e/workshop/b8-Dnxtb2,https://www.eversports.de/sw/pura-studio,2023-05-06 21:08:22
Silk Mini Choreo (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/QaE6rQp4-,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Elegant Pole Combo (Beginners),AIRobics,https://www.eversports.de/e/workshop/5D4VyOGRg,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Musical Dance (All Levels),AIRobics,https://www.eversports.de/e/workshop/N5How40JW,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Pole Power Tricks (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/9W9Yd45l6,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Sexy Pole Choreo (All Levels),AIRobics,https://www.eversports.de/e/workshop/ecWLvxCKA,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Aerial Yoga & Stretch (All Levels),AIRobics,https://www.eversports.de/e/workshop/4NzxSWm-T,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Energetic Pole Combo (Intermediate),AIRobics,https://www.eversports.de/e/workshop/KIrKTpz2H,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Front- & Middlesplit Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/jx8bzqdYN,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Silk Mini Drops & Saltos (Intermediate),AIRobics,https://www.eversports.de/e/workshop/D8oZq31LB,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Urban Dance (All Levels),AIRobics,https://www.eversports.de/e/workshop/4ZryDf5g3,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Dynamic Static Pole (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/tGmtMUawU,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Backbend Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/OXSt71Hbq,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Sexy Hoop Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/1mFu5XyHi,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Double Trouble: Pole & Hoop Doubles (All Levels),AIRobics,https://www.eversports.de/e/workshop/qBTTLinaz,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Impressive Pole Handstands (All Levels),AIRobics,https://www.eversports.de/e/workshop/2cf1FMtZ-,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Hammock Mini Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/f3gqricJC,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Power Hoop & Drops (Intermediate),AIRobics,https://www.eversports.de/e/workshop/sUS-p7fpT,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Stunning Pole (Fake) Splits (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/Tdt3RvbyV,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Pole Mini Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/lD4asREMG,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
"Pole Handspring, Pegasus & Flips (Int./Adv.)",AIRobics,https://www.eversports.de/e/workshop/ZpTaIytyi,https://www.eversports.de/sw/airobics,2023-05-06 21:08:24
Hip Mobility (4 Wochen Intensivkurs),Yoga,https://www.eversports.de/e/workshop/69oCVwxsO,https://www.eversports.de/sw/yoga-and-pole-art-by-selina,2023-05-06 21:08:24
Spinning Pole Combos Einsteiger Online Workshop,Yoga,https://www.eversports.de/e/workshop/R3VflUB-G,https://www.eversports.de/sw/yoga-and-pole-art-by-selina,2023-05-06 21:08:24
Yoga Rad Fortgeschrittene Online Workshop,Yoga,https://www.eversports.de/e/workshop/uLOMWc_ox,https://www.eversports.de/sw/yoga-and-pole-art-by-selina,2023-05-06 21:08:24
Split & Straddle Technik Online Workshop ,Yoga,https://www.eversports.de/e/workshop/6HjnBPeOE,https://www.eversports.de/sw/yoga-and-pole-art-by-selina,2023-05-06 21:08:24
