Workshop Name,Workshop Beschreibung,PoleStudio,Stadt,Straße,Datum,Uhrzeit,Dauer,Level,Trainer,Trainer Beschreibung,Preis,Workshop Everest Seite,PoleStudio Eversports Seite,Version
Silk Mini Choreo Beg Int ,"In diesem Workshop lernst du eine tolle Choreographie am Silk.Level: fortgeschrittene Anfänger (Du solltest einfach schon ein paar Silk Grundkenntnisse mitbringen, musst aber noch nicht im Intermediate Level trainieren)Kleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder LangarmshirtIn diesem Workshop lernst du eine tolle Choreographie am Silk.Level: fortgeschrittene Anfänger (Du solltest einfach schon ein paar Silk Grundkenntnisse mitbringen, musst aber noch nicht im Intermediate Level trainieren)Kleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder Langarmshirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",25.08.2023,15:30-16:45 Uhr,75 min,Anfänger,Marlou,"Ich bin Marlou, ausgebildete Musicaldarstellerin und seit 2014 auf verschiedenen Bühnen Deutschlands zu sehen.
Bereits mit 4 Jahren habe ich mit klassischem Ballettunterricht angefangen. Im Laufe der Jahre gewann ich auch an Expertise im Modern Dance, Jazz Dance, Contemporary, Standard & Latein und Steppen.
Seit meiner Ausbildung zur Musicaldarstellerin habe ich als Tanz- und Schauspieldozentin bei verschiedenen Studios/Academies oder in Workshops unterrichtet. Besonders große Freude bereitet es mir mein Wissen und meine Erfahrung an Kinder weiterzugeben.
In den letzten 2 Jahren stand ich unter anderem auch als Aerial Silk Artistin und habe in diesem Bereich auch Kinder unterrichtet.
Ich freue mich, bei AIRobics einen Teil der Kinder Luftakrobatik Kurse als Trainerin übernehmen zu dürfen.","Preis: 0,00 €",https://www.eversports.de/e/workshop/QaE6rQp4-,https://www.eversports.de/s/airobics,2023-05-02 00:17:46
Elegant Pole Combo Beginners ,"In diesem Workshop lernst du eine elegante Combo an der PoleLevel: Anfänger (Nicht für blutige Anfänger geeignet)Voraussetzungen: KletternKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses ShirtIn diesem Workshop lernst du eine elegante Combo an der PoleLevel: Anfänger (Nicht für blutige Anfänger geeignet)Voraussetzungen: KletternKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses Shirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",25.08.2023,17:00-18:15 Uhr,75 min,Anfänger,Patricia,"Moin ihr Lieben, ich bin Patricia, waschechte norddeutsche Deern und seit Sommer 2022 im AIRobics-Team.
Im Alltag habe ich einen „typischen“ Bürojob in der Finanzplanung einer Hamburger Firma.
Ich habe schon immer Sport gemacht und vieles ausprobiert. Im Sommer 2020 habe ich mich dann auch mal im Pole versucht und sofort meine Leidenschaft dafür gefunden, die mit nichts vorherigem zu vergleichen ist. Daraus folgte dann im
Sommer 2022 die Ausbildung zur Pole Trainerin für Beginner und Intermediate. Das Ende der sportlichen Fahnenstange ist allerdings sicher noch nicht erreicht!
Bei AIRobics unterrichte ich Pole Acrobatics Beginner/Intermediate Kurse.
„Ich zeige dir die Pole-Welt, wie sie mir - und hoffentlich auch dir- gefällt.“","Preis: 0,00 €",https://www.eversports.de/e/workshop/5D4VyOGRg,https://www.eversports.de/s/airobics,2023-05-02 00:17:46
Musical Dance All Levels ,"In diesem Workshop lernst du eine coole Choreographie im Musical Style - von Marlou, die hauptberuflich als Musicaldarstellerin arbeitet!Level: Alle LevelsVoraussetzungen: keine, nur Lust auf Tanzen :)Kleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder LangarmshirtIn diesem Workshop lernst du eine coole Choreographie im Musical Style - von Marlou, die hauptberuflich als Musicaldarstellerin arbeitet!Level: Alle LevelsVoraussetzungen: keine, nur Lust auf Tanzen :)Kleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder Langarmshirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",25.08.2023,17:30-18:30 Uhr,60 min,Alle Level,Marlou,"Ich bin Marlou, ausgebildete Musicaldarstellerin und seit 2014 auf verschiedenen Bühnen Deutschlands zu sehen.
Bereits mit 4 Jahren habe ich mit klassischem Ballettunterricht angefangen. Im Laufe der Jahre gewann ich auch an Expertise im Modern Dance, Jazz Dance, Contemporary, Standard & Latein und Steppen.
Seit meiner Ausbildung zur Musicaldarstellerin habe ich als Tanz- und Schauspieldozentin bei verschiedenen Studios/Academies oder in Workshops unterrichtet. Besonders große Freude bereitet es mir mein Wissen und meine Erfahrung an Kinder weiterzugeben.
In den letzten 2 Jahren stand ich unter anderem auch als Aerial Silk Artistin und habe in diesem Bereich auch Kinder unterrichtet.
Ich freue mich, bei AIRobics einen Teil der Kinder Luftakrobatik Kurse als Trainerin übernehmen zu dürfen.","Preis: 0,00 €",https://www.eversports.de/e/workshop/N5How40JW,https://www.eversports.de/s/airobics,2023-05-02 00:17:46
Pole Power Tricks Int Adv ,"In diesem Workshop lernst du coole Power Tricks an der Spinning und Static Pole.Level: fortgeschrittene MittelstufeVoraussetzungen: (Aerial)Invert, Shouldermount. Extented ButterflyKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses ShirtIn diesem Workshop lernst du coole Power Tricks an der Spinning und Static Pole.Level: fortgeschrittene MittelstufeVoraussetzungen: (Aerial)Invert, Shouldermount. Extented ButterflyKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses Shirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",25.08.2023,18:30-19:45 Uhr,75 min,Fortgeschritten,Alexa,0,"Preis: 0,00 €",https://www.eversports.de/e/workshop/9W9Yd45l6,https://www.eversports.de/s/airobics,2023-05-02 00:17:46
Sexy Pole Choreo All Levels ,"In diesem Workshop lernst du eine sexy Choreographie an der Pole.Level: Alle Levels (Du solltest kein blutiger Pole Beginner sein)Vorraussetzungen: mindestens 3 Stunden Pole ErfahrungKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses Shirt, KnieschonerIn diesem Workshop lernst du eine sexy Choreographie an der Pole.Level: Alle Levels (Du solltest kein blutiger Pole Beginner sein)Vorraussetzungen: mindestens 3 Stunden Pole ErfahrungKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses Shirt, Knieschoner",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",25.08.2023,20:00-21:15 Uhr,75 min,Alle Level,Nadja,"Ich bin Nadja, die Gründerin von AIRobics und leidenschaftfliche Pole - & Aerial Tänzerin.
Nach meinem Master Studium in International Management habe ich 2,5 Jahre in einer Unternehmensberatung gearbeitet und mir dann im September 2020 endlich meinen großen Traum vom eigenen Studio erfüllt.
Ich würde mich auf jeden Fall als Akrobatin bezeichnen, bin aber vorallem Tänzerin. Was, als ich 6 Jahre war, mit Ballett begann, ging 11 Jahre lang weiter mit Rhythmischer Sportgymnastik bis hin zu Pole Dance im Jahr 2013. In den letzten paar Jahren habe ich dann auch meine Passion für Aerial Silk und -Hammock entdeckt.
2016 habe ich den 2. Platz auf der Deutschen Meisterschaft (Mr. & Mrs. Pole Dance Germany) belegt - definitiv einer meiner Höhepunkte in meiner Pole Dance Geschichte.
Ich bin zertifizierte Pole Dance Trainerin und auch ausgebildet speziell Kinder im Bereich Luftakrobatik und Tanz zu unterrichten.
Bei AIRobics gebe ich Kurse in den Bereichen Pole Dance (Tricks und Choreographie), Silk, Hammock, Stretching und Bodenakrobatik.
""Ich möchte meinen Teil dazu beitragen, Dir das gleiche unfassbar gute Gefühl zu geben, was Pole - & Aerial Dance bei mir auslöst!""","Preis: 0,00 €",https://www.eversports.de/e/workshop/ecWLvxCKA,https://www.eversports.de/s/airobics,2023-05-02 00:17:47
Aerial Yoga Stretch All Levels ,"In diesem Workshop wird fleißig der ganze Körper gestretched und sich bei Aerial Yoga im Hammock entspannt. Dieser Workshop ist die beste Vorbereitung für alle weiteren Workshops an diesem Tag.Level: Alle LevelsVoraussetzungen: keine, nur Lust auf Stretching & EntspannungKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder LangarmshirtIn diesem Workshop wird fleißig der ganze Körper gestretched und sich bei Aerial Yoga im Hammock entspannt. Dieser Workshop ist die beste Vorbereitung für alle weiteren Workshops an diesem Tag.Level: Alle LevelsVoraussetzungen: keine, nur Lust auf Stretching & EntspannungKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder Langarmshirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,10:45-12:00 Uhr,75 min,Alle Level,Lisa,0,"Preis: 0,00 €",https://www.eversports.de/e/workshop/4NzxSWm-T,https://www.eversports.de/s/airobics,2023-05-02 00:17:47
Energetic Pole Combo Intermediate ,"In diesem Workshop lernst du eine energetische Combo an der Pole.Level: MittelstufeVoraussetzungen: Invert, Leg Hang, ButterflyKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses ShirtIn diesem Workshop lernst du eine energetische Combo an der Pole.Level: MittelstufeVoraussetzungen: Invert, Leg Hang, ButterflyKleidung: kurze Hose ohne Applikationen wie Reißverschluss oder Ähnliches, ärmelloses Shirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,12:15-13:30 Uhr,75 min,Intermediate,Steffi,"Mein Name ist Steffi, ich arbeite Hauptberuflich als Controllerin in der Konzernkonsolidierung und Pole Dance ist mein absolutes Lieblingshobby.
Ich habe Anfang 2015 mit Pole begonnen. Ich war schon immer sportlich, habe vor Pole aber nichts vergleichbares gemacht. Trotzdem entwickelte sich unglaublich schnell eine riesen Leidenschaft für mich, weshalb ich auch seitdem mehrere Male die Woche trainiere.
Im Dezember 2019 habe ich bei der PSO (Pole Sport Organsiation) Meisterschaft in Amsterdam und in meiner Kategorie den 3. Platz belegt.
Mittlerweile kann ich mir Pole Dance aus meinem Leben garnicht mehr wegdenken.
Bei AIRobics unterrichte ich Pole Acrobatics Beginner - und Pole Acrobatics Beginner/Intermediate Kurse.
""Mein Motto ist ja immer: jeder kann ALLES schaffen!""","Preis: 0,00 €",https://www.eversports.de/e/workshop/KIrKTpz2H,https://www.eversports.de/s/airobics,2023-05-02 00:17:47
Front Middlesplit Stretching All Levels ,"In diesem Workshop wirst du optimal auf deinen Front- & Middlesplit vorbereitet.Level: Alle LevelsVoraussetzungen: keine, nur Lust Spagat zu lernen bzw. flexibler zu werdenKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder LangarmshirtIn diesem Workshop wirst du optimal auf deinen Front- & Middlesplit vorbereitet.Level: Alle LevelsVoraussetzungen: keine, nur Lust Spagat zu lernen bzw. flexibler zu werdenKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder Langarmshirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,12:30-13:30 Uhr,60 min,Alle Level,Nadja,"Ich bin Nadja, die Gründerin von AIRobics und leidenschaftfliche Pole - & Aerial Tänzerin.
Nach meinem Master Studium in International Management habe ich 2,5 Jahre in einer Unternehmensberatung gearbeitet und mir dann im September 2020 endlich meinen großen Traum vom eigenen Studio erfüllt.
Ich würde mich auf jeden Fall als Akrobatin bezeichnen, bin aber vorallem Tänzerin. Was, als ich 6 Jahre war, mit Ballett begann, ging 11 Jahre lang weiter mit Rhythmischer Sportgymnastik bis hin zu Pole Dance im Jahr 2013. In den letzten paar Jahren habe ich dann auch meine Passion für Aerial Silk und -Hammock entdeckt.
2016 habe ich den 2. Platz auf der Deutschen Meisterschaft (Mr. & Mrs. Pole Dance Germany) belegt - definitiv einer meiner Höhepunkte in meiner Pole Dance Geschichte.
Ich bin zertifizierte Pole Dance Trainerin und auch ausgebildet speziell Kinder im Bereich Luftakrobatik und Tanz zu unterrichten.
Bei AIRobics gebe ich Kurse in den Bereichen Pole Dance (Tricks und Choreographie), Silk, Hammock, Stretching und Bodenakrobatik.
""Ich möchte meinen Teil dazu beitragen, Dir das gleiche unfassbar gute Gefühl zu geben, was Pole - & Aerial Dance bei mir auslöst!""","Preis: 0,00 €",https://www.eversports.de/e/workshop/jx8bzqdYN,https://www.eversports.de/s/airobics,2023-05-02 00:17:47
Silk Mini Drops Saltos Intermediate ,"In diesem Workshop lernst du eine coole Mini Drops und Saltos am Silk.Level: MittelstufeVoraussetzungen: Fußknoten, Klettern, InvertKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder LangarmshirtIn diesem Workshop lernst du eine coole Mini Drops und Saltos am Silk.Level: MittelstufeVoraussetzungen: Fußknoten, Klettern, InvertKleidung: lange Hose ohne Applikationen wie Reißverschluss oder Ähnliches, T-Shirt oder Langarmshirt",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,13:45-15:00 Uhr,75 min,Intermediate,Jana,0,"Preis: 0,00 €",https://www.eversports.de/e/workshop/D8oZq31LB,https://www.eversports.de/s/airobics,2023-05-02 00:17:48
Urban Dance All Levels ,"In diesem Workshop lernst du eine coole Choreographie im Urban Dance Style.Level: Alle LevelsVoraussetzungen: keine, nur Spaß am Tanzen :)Kleidung: Hose ohne Applikationen wie Reißverschluss oder Ähnliches, irgendein Oberteil, saubere Turnschuhe/SneakerIn diesem Workshop lernst du eine coole Choreographie im Urban Dance Style.Level: Alle LevelsVoraussetzungen: keine, nur Spaß am Tanzen :)Kleidung: Hose ohne Applikationen wie Reißverschluss oder Ähnliches, irgendein Oberteil, saubere Turnschuhe/Sneaker",AIRobics,Hamburg,"Holsteinischer Kamp 58, 22081 ",26.08.2023,13:45-14:45 Uhr,60 min,Alle Level,Malou,0,"Preis: 0,00 €",https://www.eversports.de/e/workshop/4ZryDf5g3,https://www.eversports.de/s/airobics,2023-05-02 00:17:48
