Workshop Name,PoleStudio,Workshop Seite Eversports,Version
Aerial Yoga | Alle Level (120 Min.) 49€ p.P.,aerialflow,https://www.eversports.de/e/workshop/L4J3LvFS-,2023-04-21 00:46:24
Teens Circus | Luftakrobatik für Teenies 35€ p.P.,aerialflow,https://www.eversports.de/e/workshop/2Z7k2Uxjh,2023-04-21 00:46:24
"Exotic Pole Choreo | Externer Beginner Workshop by ""Alexandra Po"" 45€",aerialflow,https://www.eversports.de/e/workshop/ocz15aUrk,2023-04-21 00:46:24
Silk Mini Choreo (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/QaE6rQp4-,2023-04-21 00:46:24
Elegant Pole Combo (Beginners),AIRobics,https://www.eversports.de/e/workshop/5D4VyOGRg,2023-04-21 00:46:24
Musical Dance (All Levels),AIRobics,https://www.eversports.de/e/workshop/N5How40JW,2023-04-21 00:46:24
Pole Power Tricks (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/9W9Yd45l6,2023-04-21 00:46:24
Sexy Pole Choreo (All Levels),AIRobics,https://www.eversports.de/e/workshop/ecWLvxCKA,2023-04-21 00:46:24
Aerial Yoga & Stretch (All Levels),AIRobics,https://www.eversports.de/e/workshop/4NzxSWm-T,2023-04-21 00:46:24
Energetic Pole Combo (Intermediate),AIRobics,https://www.eversports.de/e/workshop/KIrKTpz2H,2023-04-21 00:46:24
Front- & Middlesplit Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/jx8bzqdYN,2023-04-21 00:46:24
Silk Mini Drops & Saltos (Intermediate),AIRobics,https://www.eversports.de/e/workshop/D8oZq31LB,2023-04-21 00:46:24
Urban Dance (All Levels),AIRobics,https://www.eversports.de/e/workshop/4ZryDf5g3,2023-04-21 00:46:24
Dynamic Static Pole (Int./Adv.),AIRobics,https://www.eversports.de/e/workshop/tGmtMUawU,2023-04-21 00:46:24
Backbend Stretching (All Levels),AIRobics,https://www.eversports.de/e/workshop/OXSt71Hbq,2023-04-21 00:46:24
Sexy Hoop Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/1mFu5XyHi,2023-04-21 00:46:24
Double Trouble: Pole & Hoop Doubles (All Levels),AIRobics,https://www.eversports.de/e/workshop/qBTTLinaz,2023-04-21 00:46:24
Impressive Pole Handstands (All Levels),AIRobics,https://www.eversports.de/e/workshop/2cf1FMtZ-,2023-04-21 00:46:24
Hammock Mini Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/f3gqricJC,2023-04-21 00:46:24
Power Hoop & Drops (Intermediate),AIRobics,https://www.eversports.de/e/workshop/sUS-p7fpT,2023-04-21 00:46:24
Stunning Pole (Fake) Splits (Beg./Int.),AIRobics,https://www.eversports.de/e/workshop/Tdt3RvbyV,2023-04-21 00:46:24
Pole Mini Choreo (Beginners),AIRobics,https://www.eversports.de/e/workshop/lD4asREMG,2023-04-21 00:46:24
"Pole Handspring, Pegasus & Flips (Int./Adv.)",AIRobics,https://www.eversports.de/e/workshop/ZpTaIytyi,2023-04-21 00:46:24
Pole Workshops mit Pole Nick,Annaconda,https://www.eversports.de/e/workshop/tA8FQeiJi,2023-04-21 00:46:24
POLE DANCE I Probestunde,BALANCE,https://www.eversports.de/e/workshop/w71WU7l63,2023-04-21 00:46:24
 ACRO YOGA I 7.5.23,BALANCE,https://www.eversports.de/e/workshop/g6EEILusE,2023-04-21 00:46:24
AERIAL HOOP I Probestunde,BALANCE,https://www.eversports.de/e/workshop/SwtmTSjBW,2023-04-21 00:46:24
AERIAL FUN mit dem Tuch I ab 10 Jahre ,BALANCE,https://www.eversports.de/e/workshop/-NFd3-_2E,2023-04-21 00:46:24
POLE HANDSPRINGS & Vorbereitung ,BALANCE,https://www.eversports.de/e/workshop/AMs-fuA_f,2023-04-21 00:46:24
Rücken & Frontsplit Special ,Da,https://www.eversports.de/e/workshop/J_zl4SV-k,2023-04-21 00:46:26
Magic Spinning Combos ,Da,https://www.eversports.de/e/workshop/zbGwBniyk,2023-04-21 00:46:26
Exotic Low Flow,Da,https://www.eversports.de/e/workshop/I-5P6DhRX,2023-04-21 00:46:26
Floorwork chill your Base 2.0,Da,https://www.eversports.de/e/workshop/VMupi3nsw,2023-04-21 00:46:26
Pole Probestunde,Flexx,https://www.eversports.de/e/workshop/JFrMo9YVz,2023-04-21 00:46:26
PoleNick Alltime Favorites Intermediate,La,https://www.eversports.de/e/course/GDq1iX6qO,2023-04-21 00:46:26
"PoleNick ,,Newbies‘‘ Beginner",La,https://www.eversports.de/e/course/SEHF8UXvO,2023-04-21 00:46:26
Signature Tricks mit Aerial Allie,Pole,https://www.eversports.de/e/workshop/jRw8eBA4-,2023-04-21 00:46:29
Static Kombos mit Lea,Pole,https://www.eversports.de/e/workshop/qBVCfYWAV,2023-04-21 00:46:29
High Heels Flow mit Lea,Pole,https://www.eversports.de/e/workshop/6iXGNtubv,2023-04-21 00:46:29
Pole Beginner 2 WS,Polea,https://www.eversports.de/e/workshop/pZziw-xej,2023-04-21 00:46:29
Pole Beginner 1 WS,Polea,https://www.eversports.de/e/workshop/jHRdFXapr,2023-04-21 00:46:29
Intro to Handstand,Polearize,https://www.eversports.de/e/workshop/JP6LFvHw0,2023-04-21 00:46:29
